date,actual_sales,python_model_prediction,naive_prediction,in_sample
2025-10-03,2313607.26,2017592.8204823472,2313607.26,False
2025-10-04,2740129.7,2741025.066048921,2313607.26,False
2025-10-05,2687621.32,2737570.3831547564,2740129.7,False
2025-10-06,2273034.17,2043679.3043623026,2687621.32,False
2025-10-07,2124727.87,2047926.9647935848,2273034.17,False
2025-10-08,2025601.81,1995390.350919097,2124727.87,False
2025-10-09,2052225.2,2064753.62765942,2025601.81,False
2025-10-10,2232860.33,2059842.9669325966,2052225.2,False
2025-10-11,2716436.29,2767257.3156715403,2232860.33,False
2025-10-12,2996471.19,2756169.615202896,2716436.29,False
2025-10-13,2193351.29,2085369.4043309626,2996471.19,False
2025-10-14,2118643.63,2065129.0126701505,2193351.29,False
2025-10-15,2177367.7,2008191.7125442193,2118643.63,False
2025-10-16,2092240.37,2111504.322003363,2177367.7,False
2025-10-17,2200007.05,2105718.0570696015,2092240.37,False
2025-10-18,2984342.37,2820741.171379479,2200007.05,False
2025-10-19,3007228.31,2832588.452489508,2984342.37,False
2025-10-20,2048119.32,2140320.3825933235,3007228.31,False
2025-10-21,2090315.74,2108318.994022772,2048119.32,False
2025-10-22,1939929.16,2038476.1078489868,2090315.74,False
2025-10-23,2229850.01,2102279.3199310945,1939929.16,False
2025-10-24,2388726.04,2103239.804093254,2229850.01,False
2025-10-25,2517817.97,2834366.758869768,2388726.04,False
2025-10-26,2915633.64,2791063.553994002,2517817.97,False
2025-10-27,2366664.97,2094034.6235426168,2915633.64,False
2025-10-28,2226126.84,2100589.0984002044,2366664.97,False
2025-10-29,2152216.27,2051448.8405684277,2226126.84,False
2025-10-30,2235004.45,2148053.9601439503,2152216.27,False
2025-10-31,2325192.42,2141123.636114157,2235004.45,False
2025-11-01,2984789.33,2851708.4426670284,2325192.42,False
2025-11-02,2789029.19,2875749.846893234,2984789.33,False
2025-11-03,2260135.87,2173494.6311293966,2789029.19,False
2025-11-04,2469106.61,2143462.2593156374,2260135.87,False
2025-11-05,2351656.18,2105199.568215917,2469106.61,False
2025-11-06,2410235.78,2211127.2464360064,2351656.18,False
2025-11-07,2700850.19,2216255.1893145144,2410235.78,False
2025-11-08,3392821.85,2964071.1059522,2700850.19,False
2025-11-09,2789147.46,2992483.3067870988,3392821.85,False
2025-11-10,2419585.73,2292602.0557523533,2789147.46,False
2025-11-11,2714148.45,2284409.045770501,2419585.73,False
2025-11-12,2480018.3,2251052.1623598654,2714148.45,False
2025-11-13,1995808.21,2351913.238841918,2480018.3,False
2025-11-14,2458468.88,2310063.060570434,1995808.21,False
2025-11-15,2676897.25,3013709.1038670256,2458468.88,False
2025-11-16,3082586.84,2950340.8869624757,2676897.25,False
2025-11-17,2383449.59,2274904.443775619,3082586.84,False
2025-11-18,2288733.98,2256066.232447293,2383449.59,False
2025-11-19,2594300.92,2171567.1416590465,2288733.98,False
2025-11-20,2565640.34,2278195.841475734,2594300.92,False
2025-11-21,2454511.87,2308560.8577156784,2565640.34,False
2025-11-22,3210072.09,3024049.5718499506,2454511.87,False
2025-11-23,3425652.46,3060900.79243292,3210072.09,False
2025-11-24,2583748.37,2396950.4485431486,3425652.46,False
2025-11-25,2404597.81,2391239.79629143,2583748.37,False
2025-11-26,2661027.2,2341558.81030416,2404597.81,False
2025-11-27,2429192.93,2442329.2708991715,2661027.2,False
2025-11-28,2298921.37,2424077.1802924364,2429192.93,False
2025-11-29,3075982.99,3127956.5851068357,2298921.37,False
2025-11-30,3147831.26,3109997.4181685084,3075982.99,False
2025-12-01,2120249.64,2402800.0135594863,3147831.26,False
2025-12-02,2408663.99,2347142.42246997,2120249.64,False
2025-12-03,2597892.54,2285652.022946307,2408663.99,False
2025-12-04,2851359.21,2372988.8984861174,2597892.54,False
2025-12-05,2870873.27,2395753.269311598,2851359.21,False
2025-12-06,3485105.25,3150671.642281893,2870873.27,False
2025-12-07,3374172.09,3168056.009525491,3485105.25,False
2025-12-08,2645520.34,2497940.733987712,3374172.09,False
2025-12-09,3065436.62,2513529.8697724915,2645520.34,False
2025-12-10,2447018.48,2502305.7352386033,3065436.62,False
2025-12-11,2614396.72,2578631.4262373014,2447018.48,False
2025-12-12,2837271.81,2561907.39671735,2614396.72,False
2025-12-13,3547646.87,3281416.1816305914,2837271.81,False
2025-12-14,3227905.42,3291055.6809518863,3547646.87,False
2025-12-15,2754732.03,2588356.271074221,3227905.42,False
2025-12-16,2685233.94,2579652.576228296,2754732.03,False
2025-12-17,2839909.96,2501857.232801039,2685233.94,False
2025-12-18,2789349.22,2618835.715536676,2839909.96,False
2025-12-19,2579389.35,2621393.6215864224,2789349.22,False
2025-12-20,3481720.83,3321493.4130076556,2579389.35,False
2025-12-21,3575028.55,3311395.4923580303,3481720.83,False
2025-12-22,2784900.31,2640856.3144971845,3575028.55,False
2025-12-23,2566941.85,2623780.048754278,2784900.31,False
2025-12-24,2572275.43,2558566.4221612164,2566941.85,False
2025-12-25,2605221.24,2626240.295174002,2572275.43,False
2025-12-26,2830667.66,2604542.6641528,2605221.24,False
2025-12-27,3721870.14,3345482.1443128367,2830667.66,False
2025-12-28,3733042.33,3362398.07294274,3721870.14,False
2025-12-29,2880690.87,2687843.309551584,3733042.33,False
2025-12-30,2628854.49,2685661.4124582186,2880690.87,False
2025-12-31,2625757.77,2633264.9247032213,2628854.49,False
