dataset,check,value,details
locations.csv,ROWS,20,
locations.csv,COLUMNS,4,
locations.csv,MISSING_CELLS,0,
locations.csv,DUPLICATE_ROWS,0,
locations.csv,NULL_PRIMARY_KEY,0,location_id
locations.csv,DUPLICATE_PRIMARY_KEY,0,location_id
locations.csv,INVALID_NUMERIC_latitude,0,latitude
locations.csv,INVALID_NUMERIC_longitude,0,longitude
restaurants.csv,ROWS,20,
restaurants.csv,COLUMNS,5,
restaurants.csv,MISSING_CELLS,0,
restaurants.csv,DUPLICATE_ROWS,0,
restaurants.csv,NULL_PRIMARY_KEY,0,restaurant_id
restaurants.csv,DUPLICATE_PRIMARY_KEY,0,restaurant_id
restaurants.csv,INVALID_DATE_opening_date,0,opening_date
menu_categories.csv,ROWS,10,
menu_categories.csv,COLUMNS,2,
menu_categories.csv,MISSING_CELLS,0,
menu_categories.csv,DUPLICATE_ROWS,0,
menu_categories.csv,NULL_PRIMARY_KEY,0,category_id
menu_categories.csv,DUPLICATE_PRIMARY_KEY,0,category_id
menu_items.csv,ROWS,150,
menu_items.csv,COLUMNS,9,
menu_items.csv,MISSING_CELLS,0,
menu_items.csv,DUPLICATE_ROWS,0,
menu_items.csv,NULL_PRIMARY_KEY,0,menu_item_id
menu_items.csv,DUPLICATE_PRIMARY_KEY,0,menu_item_id
menu_items.csv,INVALID_NUMERIC_base_price,0,base_price
menu_items.csv,NEGATIVE_base_price,0,base_price
menu_items.csv,INVALID_NUMERIC_cost_price,0,cost_price
menu_items.csv,NEGATIVE_cost_price,0,cost_price
menu_items.csv,INVALID_DATE_launch_date,0,launch_date
menu_items.csv,COST_GREATER_THAN_BASE_PRICE,0,Potential pricing/margin anomaly
customers.csv,ROWS,50250,
customers.csv,COLUMNS,11,
customers.csv,MISSING_CELLS,497,
customers.csv,DUPLICATE_ROWS,250,
customers.csv,NULL_PRIMARY_KEY,0,customer_id
customers.csv,DUPLICATE_PRIMARY_KEY,250,customer_id
customers.csv,INVALID_DATE_date_of_birth,0,date_of_birth
customers.csv,INVALID_DATE_registration_date,0,registration_date
orders.csv,ROWS,100000,
orders.csv,COLUMNS,14,
orders.csv,MISSING_CELLS,86506,
orders.csv,DUPLICATE_ROWS,0,
orders.csv,NULL_PRIMARY_KEY,0,order_id
orders.csv,DUPLICATE_PRIMARY_KEY,0,order_id
orders.csv,INVALID_NUMERIC_subtotal,0,subtotal
orders.csv,NEGATIVE_subtotal,0,subtotal
orders.csv,INVALID_NUMERIC_discount_amount,0,discount_amount
orders.csv,NEGATIVE_discount_amount,0,discount_amount
orders.csv,INVALID_NUMERIC_tax_amount,0,tax_amount
orders.csv,NEGATIVE_tax_amount,0,tax_amount
orders.csv,INVALID_NUMERIC_delivery_fee,0,delivery_fee
orders.csv,NEGATIVE_delivery_fee,0,delivery_fee
orders.csv,INVALID_NUMERIC_total_amount,0,total_amount
orders.csv,NEGATIVE_total_amount,0,total_amount
orders.csv,INVALID_DATE_order_date,0,order_date
orders.csv,TOTAL_AMOUNT_LOGICAL_MISMATCH,0,Expected subtotal - discount + tax + delivery fee
order_items.csv,ROWS,1000200,
order_items.csv,COLUMNS,7,
order_items.csv,MISSING_CELLS,0,
order_items.csv,DUPLICATE_ROWS,0,
order_items.csv,NULL_PRIMARY_KEY,0,order_item_id
order_items.csv,DUPLICATE_PRIMARY_KEY,0,order_item_id
order_items.csv,INVALID_NUMERIC_quantity,0,quantity
order_items.csv,NEGATIVE_quantity,0,quantity
order_items.csv,INVALID_NUMERIC_unit_price,0,unit_price
order_items.csv,NEGATIVE_unit_price,0,unit_price
order_items.csv,INVALID_NUMERIC_discount_amount,0,discount_amount
order_items.csv,NEGATIVE_discount_amount,0,discount_amount
order_items.csv,INVALID_NUMERIC_line_total,0,line_total
order_items.csv,NEGATIVE_line_total,970,line_total
order_items.csv,NON_POSITIVE_QUANTITY,1030,Order item quantity must be greater than zero
pricing_history.csv,ROWS,283,
