menu_item_id,restaurant_id,item_name,units_sold,revenue,estimated_profit,profit_margin_percentage,average_rating,wastage_ratio,actual_class,python_predicted_class,pipeline_predicted_class,match,explanation
11,11,Menu Item 011,8871,10189641.65,5308219.75,52.09427310920203,4.225848563968668,0.0829111961128915,Profit Driver,Profit Driver,Profit Driver,True,
13,13,Menu Item 013,13267,8102745.46,2934800.0900000003,36.21982332393298,4.153977758768178,0.0549223536116255,Volume Driver,Volume Driver,Volume Driver,True,
18,18,Menu Item 018,2760,1540800.57,615152.78,39.9242310768356,4.114035087719298,0.263607257203842,Low Performer,Low Performer,Low Performer,True,
26,6,Menu Item 026,14016,14805239.05,6279790.98,42.41600529915118,4.197301854974705,0.0622240064231232,Volume Driver,Volume Driver,Volume Driver,True,
27,7,Menu Item 027,6782,4917012.77,2565136.2,52.16858934454223,4.225688073394496,0.114158829676071,Profit Driver,Profit Driver,Profit Driver,True,
53,13,Menu Item 053,7995,3789488.59,1401282.89,36.97815303357333,4.152923538230884,0.0942562592047128,Volume Driver,Volume Driver,Volume Driver,True,
55,15,Menu Item 055,2490,4491614.62,2161049.12,48.11296833832107,4.290816326530612,0.2502258355916892,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,True,
60,20,Menu Item 060,2831,2266313.76,1303822.84,57.53055305104797,4.269406392694064,0.2446638207043756,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,True,
64,4,Menu Item 064,5680,2316534.06,858117.3800000001,37.04315834665518,4.156118143459915,0.132956800488475,Volume Driver,Low Performer,Low Performer,True,
67,7,Menu Item 067,3601,3778174.35,1469666.4600000002,38.89885229886229,4.231012658227848,0.1882326420198377,Low Performer,Low Performer,Low Performer,True,
69,9,Menu Item 069,17679,4638816.01,2958580.79,63.77879147657767,4.226578073089701,0.042515164644714,Profit Driver,Profit Driver,Profit Driver,True,
71,11,Menu Item 071,13359,12131462.02,5876694.649999999,48.44176769717983,4.231949458483754,0.0553669919389053,Profit Driver,Profit Driver,Profit Driver,True,
81,1,Menu Item 081,3935,3439451.04,1392191.16,40.47713265312245,4.141618497109826,0.1849627174813587,Low Performer,Low Performer,Low Performer,True,
82,2,Menu Item 082,5666,5815068.03,2400036.94,41.27272333905954,4.184381778741866,0.1170328814087579,Volume Driver,Volume Driver,Volume Driver,True,
90,10,Menu Item 090,9387,3405054.67,1605622.5,47.15408871834648,4.170212765957447,0.0840163934426229,Volume Driver,Volume Driver,Volume Driver,True,
95,15,Menu Item 095,12836,15984103.04,7152487.19,44.74750426784036,4.189608021877849,0.0643632917851155,Volume Driver,Volume Driver,Volume Driver,True,
97,17,Menu Item 097,2262,1838927.26,796673.63,43.322737518176766,4.189473684210526,0.2793883402357439,Low Performer,Low Performer,Low Performer,True,
98,18,Menu Item 098,13490,9202390.76,4149405.45,45.09051569551041,4.230246389124893,0.0567752761851489,Volume Driver,Volume Driver,Volume Driver,True,
102,2,Menu Item 102,8563,13796366.58,7120231.37,51.60946781685182,4.163072776280323,0.0993899873790492,Profit Driver,Profit Driver,Profit Driver,True,
107,7,Menu Item 107,6879,6104369.59,2847232.19,46.64252627600158,4.252173913043478,0.1188676828487255,Volume Driver,Volume Driver,Volume Driver,True,
109,9,Menu Item 109,2375,1135170.18,602261.52,53.05473404877497,4.166666666666667,0.2998231132075472,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,True,
114,14,Menu Item 114,13647,11566862.05,4126008.69,35.6709423192265,4.225021720243267,0.0646974162154753,Volume Driver,Volume Driver,Volume Driver,True,
117,17,Menu Item 117,18755,16703237.0,8524986.87,51.03793276716363,4.203095975232198,0.0451097194643857,Profit Driver,Profit Driver,Profit Driver,True,
122,2,Menu Item 122,2897,4314457.69,1882867.67,43.64088850295342,4.182203389830509,0.2329891448239343,Low Performer,Low Performer,Low Performer,True,
125,5,Menu Item 125,14841,26764017.34,9830793.000000002,36.73138032722558,4.240285487708168,0.0495068528243883,Volume Driver,Volume Driver,Volume Driver,True,
127,7,Menu Item 127,27781,21167393.54,11858040.17,56.02031325959842,4.198053322048244,0.0301284736768607,Profit Driver,Profit Driver,Profit Driver,True,
129,9,Menu Item 129,2203,511948.84,288518.94,56.35698676453686,4.173652694610778,0.2807704864511916,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,True,
134,14,Menu Item 134,1673,1237136.76,749908.0800000001,60.61642530127389,4.259740259740259,0.3392575039494471,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,True,
141,1,Menu Item 141,3914,1844889.79,848350.13,45.98378367089342,4.190058479532164,0.1874610753581067,Low Performer,Low Performer,Low Performer,True,
146,6,Menu Item 146,5549,6639592.65,2509348.35,37.7937093776378,4.185567010309279,0.1423493044822256,Low Performer,Low Performer,Low Performer,True,
