order_id,customer_id,restaurant_id,order_date,total_amount,actual_high_value,order_hour,day_of_week_code,order_month,is_weekend,is_promo_order,channel_code,payment_code,basket_size,basket_quantity,avg_unit_price,discount_rate_percentage,total_orders,total_spend,python_predicted_high_value,pipeline_predicted_high_value,pipeline_probability,match,explanation
752,42603,15,2025-01-09,20088.01,1,18,6,1,False,False,3,1,10,16,1303.678,5.000009931295299,3.0,54392.37,1,1,0.98,True,
1960,46220,13,2025-10-30,12217.24,0,9,6,10,False,False,0,2,10,16,731.726,4.999975505925117,3.0,27577.71,0,0,0.0,True,
2171,36000,5,2025-03-23,16749.91,0,11,4,3,True,False,2,0,10,15,1119.775,0.0,3.0,31919.04,0,0,0.2,True,
2268,36418,4,2025-08-18,6798.9,0,10,1,8,False,False,1,0,10,12,574.74,0.0,1.0,6798.9,0,0,0.0,True,
2285,6118,5,2025-09-13,12296.48,0,21,5,9,True,False,1,0,10,12,1053.7469999999998,0.0,1.0,12296.48,0,0,0.0,True,
3090,32269,14,2025-09-02,8444.91,0,21,0,9,False,False,2,2,10,13,607.212,0.0,1.0,8444.91,0,0,0.0,True,
3472,21217,4,2025-06-08,7579.55,0,20,4,6,True,False,0,2,10,15,496.96400000000006,0.0,3.0,33154.97,0,0,0.0,True,
3717,11092,4,2025-06-10,7181.66,0,20,0,6,False,False,2,1,10,15,600.701,10.000065792503603,1.0,7181.66,0,0,0.0,True,
4155,38477,7,2025-01-15,17267.2,0,17,2,1,False,False,3,1,10,20,856.3619999999999,4.999979781022699,2.0,36018.01,0,0,0.12666666666666668,True,
4358,29839,13,2025-03-06,10355.78,0,21,6,3,False,False,1,1,10,17,576.038,0.0,2.0,24007.46,0,0,0.0,True,
5810,25440,10,2025-02-17,5238.47,0,17,1,2,False,False,2,1,10,11,450.533,4.999912302754278,3.0,27163.46,0,0,0.0,True,
6362,8458,3,2025-11-12,10727.69,0,15,2,11,False,True,0,2,10,13,783.7760000000001,0.1798684156533395,2.0,15175.66,0,0,0.013333333333333334,True,
6496,20948,17,2025-02-02,12416.51,0,20,4,2,True,False,1,2,10,17,774.659,10.000022832492464,3.0,40438.8,0,0,0.0,True,
6783,16051,1,2025-11-01,11778.3,0,13,5,11,True,False,0,2,10,14,804.168,0.0,3.0,29564.18,0,0,0.0,True,
7668,6606,5,2025-05-09,16844.77,0,19,3,5,False,False,2,0,10,18,976.285,0.0,3.0,52368.83,1,1,0.5066666666666667,True,
7962,32875,10,2025-12-16,6759.17,0,20,0,12,False,False,0,2,10,15,424.811,0.0,3.0,32698.84,0,0,0.0,True,
7976,8002,19,2025-05-18,3472.19,0,11,4,5,True,False,1,2,10,14,237.797,0.0,1.0,3472.19,0,0,0.0,True,
8327,13473,15,2025-04-16,13521.66,0,12,2,4,False,True,1,0,10,14,1126.75,7.623327714213982,2.0,27255.56,0,0,0.013333333333333334,True,
8506,28781,15,2025-05-10,16256.95,0,14,5,5,True,False,2,1,10,14,1156.062,0.0,3.0,36877.240000000005,0,0,0.06,True,
8632,31817,9,2025-11-08,4623.62,0,12,5,11,True,False,2,2,10,15,336.057,14.999990091298772,2.0,8113.63,0,0,0.006666666666666667,True,
8827,3482,20,2025-04-26,4149.97,0,16,5,4,True,True,0,2,10,14,309.163,5.877828237485026,6.0,53973.9,0,0,0.0,True,
8959,13602,9,2025-01-29,4832.08,0,14,2,1,False,False,2,0,10,16,290.461,0.0,3.0,24523.41,0,0,0.0,True,
9055,36230,18,2025-05-24,5922.84,0,12,5,5,True,False,2,1,10,13,456.306,0.0,5.0,40684.74,0,0,0.0,True,
9107,26834,14,2025-04-01,5658.64,0,22,0,4,False,True,3,1,10,12,534.63,11.742924848883844,1.0,5658.64,0,0,0.0,True,
9258,6511,16,2025-06-27,12508.72,0,19,3,6,False,False,3,1,10,16,877.9129999999999,15.000021405056446,1.0,12508.72,0,0,0.0,True,
9459,49966,3,2025-09-27,12806.45,0,10,5,9,True,False,2,0,10,16,757.256,0.0,5.0,57843.4,0,0,0.013333333333333334,True,
9537,49452,3,2025-07-30,8205.08,0,14,2,7,False,False,2,2,10,11,689.484,0.0,3.0,29771.21,0,0,0.0,True,
