order_item_id,order_id,menu_item_id,quantity,unit_price,discount_amount,line_total,quarantine_reason
4921,493,78,1,405.28,0.0,405.28,Unknown order_id
4922,493,78,3,414.93,0.0,1244.79,Unknown order_id
4923,493,18,1,570.1,0.0,570.1,Unknown order_id
4924,493,98,1,671.74,0.0,671.74,Unknown order_id
4925,493,118,1,523.49,0.0,523.49,Unknown order_id
4926,493,78,2,412.42,0.0,824.84,Unknown order_id
4927,493,18,1,549.38,0.0,549.38,Unknown order_id
4928,493,78,1,393.79,0.0,393.79,Unknown order_id
4929,493,78,1,424.28,0.0,424.28,Unknown order_id
4930,493,78,1,390.0,0.0,390.0,Unknown order_id
8511,852,1,2,948.18,0.0,1896.36,Unknown order_id
8512,852,41,1,537.85,134.46,537.85,Unknown order_id
8513,852,21,1,751.75,0.0,751.75,Unknown order_id
8514,852,1,1,947.33,0.0,947.33,Unknown order_id
8515,852,141,1,455.07,0.0,455.07,Unknown order_id
8516,852,141,1,466.0,0.0,466.0,Unknown order_id
8517,852,1,1,933.98,0.0,933.98,Unknown order_id
8518,852,141,1,456.47,0.0,456.47,Unknown order_id
8519,852,1,1,963.83,0.0,963.83,Unknown order_id
8520,852,21,2,754.97,0.0,1509.94,Unknown order_id
10151,1016,125,2,1745.31,0.0,3490.62,Unknown order_id
10152,1016,105,2,1082.27,0.0,2164.54,Unknown order_id
10153,1016,125,3,1821.96,0.0,5465.88,Unknown order_id
10154,1016,105,4,1126.32,0.0,4505.28,Unknown order_id
10155,1016,45,4,593.08,0.0,2372.32,Unknown order_id
10156,1016,45,1,577.04,0.0,577.04,Unknown order_id
10157,1016,45,1,580.04,0.0,580.04,Unknown order_id
10158,1016,45,1,616.89,0.0,616.89,Unknown order_id
10159,1016,145,2,791.9,0.0,1583.8,Unknown order_id
10160,1016,105,1,1124.53,0.0,1124.53,Unknown order_id
26771,2678,123,2,781.81,0.0,1563.62,Unknown order_id
26772,2678,63,2,865.21,0.0,1730.42,Unknown order_id
26773,2678,103,1,867.26,0.0,867.26,Unknown order_id
26774,2678,103,2,841.28,0.0,1682.56,Unknown order_id
26775,2678,123,1,767.71,0.0,767.71,Unknown order_id
26776,2678,143,1,603.63,0.0,603.63,Unknown order_id
26777,2678,103,1,823.71,0.0,823.71,Unknown order_id
26778,2678,63,1,882.54,0.0,882.54,Unknown order_id
26779,2678,43,2,754.3,0.0,1508.6,Unknown order_id
26780,2678,43,2,775.67,0.0,1551.34,Unknown order_id
27591,2760,74,1,449.1,0.0,449.1,Unknown order_id
27592,2760,114,1,854.75,0.0,854.75,Unknown order_id
27593,2760,74,1,412.38,0.0,412.38,Unknown order_id
27594,2760,14,1,435.77,0.0,435.77,Unknown order_id
27595,2760,34,1,773.6,0.0,773.6,Unknown order_id
27596,2760,94,1,707.99,0.0,707.99,Unknown order_id
27597,2760,134,1,761.63,0.0,761.63,Unknown order_id
27598,2760,114,3,803.2,0.0,2409.6,Unknown order_id
27599,2760,74,1,424.71,0.0,424.71,Unknown order_id
27600,2760,14,1,409.26,0.0,409.26,Unknown order_id
29461,2947,78,1,413.53,0.0,413.53,Unknown order_id
29462,2947,138,1,275.03,0.0,275.03,Unknown order_id
29463,2947,38,1,629.18,0.0,629.18,Unknown order_id
29464,2947,38,2,694.81,0.0,1389.62,Unknown order_id
29465,2947,118,1,544.85,0.0,544.85,Unknown order_id
29466,2947,98,3,698.07,0.0,2094.21,Unknown order_id
29467,2947,78,1,391.18,0.0,391.18,Unknown order_id
29468,2947,18,1,572.21,0.0,572.21,Unknown order_id
29469,2947,78,1,398.41,0.0,398.41,Unknown order_id
29470,2947,78,1,403.73,0.0,403.73,Unknown order_id
34871,3488,137,1,842.71,0.0,842.71,Unknown order_id
34872,3488,17,2,595.35,0.0,1190.7,Unknown order_id
34873,3488,117,2,900.06,0.0,1800.12,Unknown order_id
34874,3488,117,1,900.09,0.0,900.09,Unknown order_id
34875,3488,117,2,871.84,0.0,1743.68,Unknown order_id
34876,3488,77,1,981.58,0.0,981.58,Unknown order_id
34877,3488,117,2,857.19,0.0,1714.38,Unknown order_id
34878,3488,117,1,861.26,0.0,861.26,Unknown order_id
34879,3488,17,2,586.08,0.0,1172.16,Unknown order_id
34880,3488,17,1,610.49,0.0,610.49,Unknown order_id
35911,3592,46,1,1366.03,0.0,1366.03,Unknown order_id
35912,3592,126,1,1227.72,0.0,1227.72,Unknown order_id
35913,3592,106,1,700.24,0.0,700.24,Unknown order_id
35914,3592,6,3,732.72,0.0,2198.16,Unknown order_id
35915,3592,6,2,806.12,0.0,1612.24,Unknown order_id
35916,3592,6,1,761.12,0.0,761.12,Unknown order_id
35917,3592,126,1,1223.62,0.0,1223.62,Unknown order_id
35918,3592,6,3,762.02,0.0,2286.06,Unknown order_id
35919,3592,126,1,1251.85,0.0,1251.85,Unknown order_id
35920,3592,46,1,1345.55,0.0,1345.55,Unknown order_id
44121,4413,82,3,1060.82,0.0,3182.46,Unknown order_id
44122,4413,62,1,1266.55,0.0,1266.55,Unknown order_id
44123,4413,22,1,854.37,0.0,854.37,Unknown order_id
44124,4413,22,1,840.02,0.0,840.02,Unknown order_id
44125,4413,22,2,825.27,0.0,1650.54,Unknown order_id
44126,4413,62,1,1247.99,0.0,1247.99,Unknown order_id
44127,4413,142,1,1689.35,0.0,1689.35,Unknown order_id
44128,4413,22,1,867.2,0.0,867.2,Unknown order_id
44129,4413,62,1,1287.82,0.0,1287.82,Unknown order_id
44130,4413,122,2,1434.36,286.87,2868.72,Unknown order_id
92621,9263,107,1,867.88,0.0,867.88,Unknown order_id
92622,9263,127,3,747.18,0.0,2241.54,Unknown order_id
92623,9263,87,1,1005.62,0.0,1005.62,Unknown order_id
92624,9263,7,1,980.28,98.03,980.28,Unknown order_id
92625,9263,7,1,1029.7,0.0,1029.7,Unknown order_id
92626,9263,147,1,585.5,0.0,585.5,Unknown order_id
92627,9263,127,2,784.49,0.0,1568.98,Unknown order_id
92628,9263,107,1,899.43,0.0,899.43,Unknown order_id
92629,9263,127,1,796.49,0.0,796.49,Unknown order_id
92630,9263,107,1,890.72,0.0,890.72,Unknown order_id
97331,9734,143,3,635.7,0.0,1907.1,Unknown order_id
97332,9734,23,1,427.96,0.0,427.96,Unknown order_id
97333,9734,123,4,742.9,0.0,2971.6,Unknown order_id
97334,9734,103,1,797.77,0.0,797.77,Unknown order_id
97335,9734,143,1,608.73,0.0,608.73,Unknown order_id
97336,9734,103,2,793.0,0.0,1586.0,Unknown order_id
97337,9734,63,1,893.95,0.0,893.95,Unknown order_id
97338,9734,43,1,740.43,0.0,740.43,Unknown order_id
97339,9734,143,1,640.54,0.0,640.54,Unknown order_id
97340,9734,103,1,794.82,0.0,794.82,Unknown order_id
98971,9898,76,1,736.49,0.0,736.49,Unknown order_id
98972,9898,96,2,806.23,0.0,1612.46,Unknown order_id
98973,9898,116,1,1059.91,0.0,1059.91,Unknown order_id
98974,9898,76,1,792.0,0.0,792.0,Unknown order_id
98975,9898,76,1,775.38,0.0,775.38,Unknown order_id
98976,9898,96,1,781.89,0.0,781.89,Unknown order_id
98977,9898,76,2,731.05,0.0,1462.1,Unknown order_id
98978,9898,36,1,884.92,0.0,884.92,Unknown order_id
98979,9898,76,1,728.39,0.0,728.39,Unknown order_id
98980,9898,36,1,882.99,0.0,882.99,Unknown order_id
99451,9946,125,1,1834.11,0.0,1834.11,Unknown order_id
99452,9946,45,1,582.67,0.0,582.67,Unknown order_id
99453,9946,105,1,1056.92,0.0,1056.92,Unknown order_id
99454,9946,45,4,590.63,0.0,2362.52,Unknown order_id
99455,9946,45,4,632.83,0.0,2531.32,Unknown order_id
99456,9946,45,1,630.82,0.0,630.82,Unknown order_id
99457,9946,145,2,861.71,0.0,1723.42,Unknown order_id
99458,9946,105,1,1104.75,0.0,1104.75,Unknown order_id
99459,9946,45,1,630.7,0.0,630.7,Unknown order_id
99460,9946,65,1,853.48,0.0,853.48,Unknown order_id
99841,9985,43,2,749.26,0.0,1498.52,Unknown order_id
99842,9985,143,1,639.56,0.0,639.56,Unknown order_id
99843,9985,43,1,744.63,0.0,744.63,Unknown order_id
99844,9985,43,3,761.87,0.0,2285.61,Unknown order_id
99845,9985,43,1,750.76,0.0,750.76,Unknown order_id
99846,9985,63,2,870.53,0.0,1741.06,Unknown order_id
99847,9985,63,1,927.57,0.0,927.57,Unknown order_id
99848,9985,43,1,759.58,0.0,759.58,Unknown order_id
99849,9985,103,1,854.04,0.0,854.04,Unknown order_id
99850,9985,143,1,587.31,0.0,587.31,Unknown order_id
104021,10403,9,1,383.97,0.0,383.97,Unknown order_id
104022,10403,9,2,379.72,0.0,759.44,Unknown order_id
104023,10403,69,1,248.49,0.0,248.49,Unknown order_id
104024,10403,9,1,381.17,0.0,381.17,Unknown order_id
104025,10403,69,2,250.18,0.0,500.36,Unknown order_id
104026,10403,69,1,267.13,0.0,267.13,Unknown order_id
104027,10403,9,3,365.89,0.0,1097.67,Unknown order_id
104028,10403,69,1,252.48,0.0,252.48,Unknown order_id
104029,10403,129,2,242.58,0.0,485.16,Unknown order_id
104030,10403,69,1,251.75,0.0,251.75,Unknown order_id
147721,14773,8,3,497.38,0.0,1492.14,Unknown order_id
147722,14773,108,1,672.02,0.0,672.02,Unknown order_id
147723,14773,68,1,292.1,0.0,292.1,Unknown order_id
147724,14773,68,2,294.04,0.0,588.08,Unknown order_id
147725,14773,108,1,678.97,0.0,678.97,Unknown order_id
147726,14773,68,4,303.6,121.44,1214.4,Unknown order_id
147727,14773,48,2,466.2,0.0,932.4,Unknown order_id
147728,14773,148,2,543.09,0.0,1086.18,Unknown order_id
147729,14773,108,2,702.1,0.0,1404.2,Unknown order_id
