order_id,customer_id,restaurant_id,order_date,order_time,order_status,order_channel,payment_method,promotion_id,subtotal,discount_amount,tax_amount,delivery_fee,total_amount,quarantine_reason
493,47934,18,2024-11-14,16:37:00,Completed,Takeaway,Card,,5997.69,0.0,299.88,0,6297.57,order_date outside analysis period (2025-01-01 to 2025-12-31)
852,11400,1,2024-12-21,12:00:00,Completed,Third-party Delivery,Cash,106.0,8918.58,134.46,439.21,120,9343.33,order_date outside analysis period (2025-01-01 to 2025-12-31)
1016,38290,5,2024-12-06,18:51:00,Completed,Third-party Delivery,Card,,22480.94,0.0,1124.05,0,23604.99,order_date outside analysis period (2025-01-01 to 2025-12-31)
2678,37914,3,2024-11-04,13:08:00,Completed,Takeaway,Cash,,11981.39,599.07,569.12,0,11951.44,order_date outside analysis period (2025-01-01 to 2025-12-31)
2760,10975,14,2024-11-09,18:22:00,Completed,Third-party Delivery,Card,,7638.79,0.0,381.94,80,8100.73,order_date outside analysis period (2025-01-01 to 2025-12-31)
2947,41162,18,2024-11-25,14:39:00,Completed,Website/App,Online Wallet,,7111.95,0.0,355.6,0,7467.55,order_date outside analysis period (2025-01-01 to 2025-12-31)
3488,23079,17,2024-11-22,20:08:00,Completed,Website/App,Online Wallet,,11817.17,0.0,590.86,0,12408.03,order_date outside analysis period (2025-01-01 to 2025-12-31)
3592,40283,6,2024-12-13,19:34:00,Cancelled,Third-party Delivery,Cash,,13972.59,2095.89,593.83,80,12550.53,order_date outside analysis period (2025-01-01 to 2025-12-31)
4413,40325,2,2024-11-10,21:39:00,Completed,Third-party Delivery,Cash,80.0,15755.02,1074.62,734.02,0,15414.42,order_date outside analysis period (2025-01-01 to 2025-12-31)
9263,10465,7,2024-11-12,18:56:00,Completed,Takeaway,Cash,77.0,10866.14,98.03,538.41,0,11306.52,order_date outside analysis period (2025-01-01 to 2025-12-31)
9734,39297,3,2024-11-18,19:54:00,Completed,Third-party Delivery,Online Wallet,,11368.9,0.0,568.45,80,12017.35,order_date outside analysis period (2025-01-01 to 2025-12-31)
9898,43576,16,2024-12-07,13:35:00,Completed,Dine-in,Card,,9716.53,0.0,485.83,0,10202.36,order_date outside analysis period (2025-01-01 to 2025-12-31)
9946,6269,5,2024-12-09,13:26:00,Completed,Takeaway,Online Wallet,,13310.71,0.0,665.54,0,13976.25,order_date outside analysis period (2025-01-01 to 2025-12-31)
