rating_id,customer_id,order_id,menu_item_id,restaurant_id,rating,review_date,review_text,quarantine_reason
1653,1139,36850,100,20,3,2025-01-18,Excellent,Unknown order_id
2192,2447,55506,74,14,5,2025-03-03,Good value,Unknown order_id
2361,28506,10403,9,9,4,2025-05-17,Excellent,Unknown order_id
2380,41501,42488,63,3,5,2025-01-17,Excellent,Unknown order_id
3669,17093,20172,112,12,5,2025-06-02,Average,Unknown order_id
3948,42007,63091,139,19,4,2025-12-27,Could be better,Unknown order_id
4057,32545,39913,119,19,3,2025-01-07,Average,Unknown order_id
6021,40528,15496,40,20,5,2025-02-22,Could be better,Unknown order_id
8042,45104,76071,110,10,3,2025-05-13,Very good,Unknown order_id
8307,24892,84854,113,13,4,2025-03-23,Could be better,Unknown order_id
8531,46079,59376,14,14,5,2025-09-16,Good value,Unknown order_id
8911,38290,1016,105,5,5,2025-02-27,Could be better,Unknown order_id
9998,23916,47081,66,6,4,2025-02-22,Excellent,Unknown order_id
10905,38139,79358,145,5,5,2025-03-27,Excellent,Unknown order_id
11630,43576,9898,76,16,5,2025-03-30,Could be better,Unknown order_id
12875,29466,37834,72,12,2,2025-12-17,Good value,Unknown order_id
13114,2289,71912,95,15,5,2025-06-18,Good experience,Unknown order_id
13281,22932,57621,43,3,4,2025-08-16,Could be better,Unknown order_id
13709,41520,82805,62,2,4,2025-05-09,Excellent,Unknown order_id
13952,33150,31764,110,10,5,2025-07-19,Average,Unknown order_id
15531,38290,1016,45,5,4,2025-02-27,Average,Unknown order_id
21109,49228,39503,68,8,3,2025-11-04,Excellent,Unknown order_id
21302,16625,77404,118,18,4,2025-11-29,Could be better,Unknown order_id
22350,11921,42067,124,4,5,2025-09-01,Good value,Unknown order_id
24955,10975,2760,114,14,4,2025-12-31,Average,Unknown order_id
25646,12333,97449,125,5,4,2025-10-30,Good experience,Unknown order_id
26026,32943,58519,71,11,4,2025-11-27,Good experience,Unknown order_id
29103,11400,852,141,1,4,2025-07-18,Good value,Unknown order_id
29540,47934,493,98,18,3,2025-05-24,Very good,Unknown order_id
30394,17323,58324,77,17,4,2025-06-01,Excellent,Unknown order_id
30739,47487,15869,57,17,3,2025-10-03,Very good,Unknown order_id
31527,32545,39913,139,19,5,2025-01-08,Good value,Unknown order_id
34134,27558,49518,144,4,4,2025-09-11,Very good,Unknown order_id
34804,27074,72355,39,19,4,2025-08-03,Could be better,Unknown order_id
35190,20360,98811,61,1,4,2025-12-24,Good experience,Unknown order_id
35340,21136,97389,1,1,5,2025-07-04,Very good,Unknown order_id
35712,18477,69072,110,10,3,2025-08-27,Could be better,Unknown order_id
35942,22932,57621,103,3,5,2025-08-18,Could be better,Unknown order_id
36870,42751,89817,141,1,5,2025-04-17,Could be better,Unknown order_id
38663,15182,19002,140,20,3,2025-05-21,Excellent,Unknown order_id
38677,23079,3488,17,17,5,2025-01-11,Could be better,Unknown order_id
40541,3862,88091,117,17,1,2025-12-31,Could be better,Unknown order_id
41329,41501,42488,123,3,4,2025-01-16,Very good,Unknown order_id
42130,6737,40301,8,8,4,2025-11-18,Very good,Unknown order_id
44373,15182,19002,140,20,4,2025-05-21,Very good,Unknown order_id
44870,49228,39503,108,8,5,2025-11-03,Good experience,Unknown order_id
46847,4042,46991,10,10,5,2025-05-09,Excellent,Unknown order_id
47556,26860,38145,77,17,5,2025-11-06,Excellent,Unknown order_id
48373,16064,34909,68,8,5,2025-07-16,Average,Unknown order_id
48645,26391,22659,98,18,4,2025-08-09,Average,Unknown order_id
49516,40283,3592,126,6,1,2025-11-24,Average,Unknown order_id
50392,2061,39352,130,10,4,2025-03-01,Could be better,Unknown order_id
50774,10247,56574,133,13,5,2025-04-26,Average,Unknown order_id
54596,40283,3592,6,6,5,2025-11-24,Good experience,Unknown order_id
55325,23440,90026,137,17,4,2025-10-18,Good value,Unknown order_id
55674,29466,37834,92,12,5,2025-12-16,Good experience,Unknown order_id
