customer_id,last_order_date,days_since,preferred_channel,total_orders
25921,2025-01-01,364,Website/App,1
12004,2025-01-01,364,Website/App,1
44676,2025-01-01,364,Takeaway,1
21292,2025-01-01,364,Third-party Delivery,1
21385,2025-01-01,364,Third-party Delivery,1
9420,2025-01-01,364,Third-party Delivery,1
40392,2025-01-01,364,Website/App,1
44641,2025-01-01,364,Dine-in,1
7900,2025-01-01,364,Takeaway,1
43513,2025-01-01,364,Takeaway,1
13178,2025-01-01,364,Takeaway,1
28894,2025-01-01,364,Third-party Delivery,1
31686,2025-01-01,364,Takeaway,1
49940,2025-01-01,364,Takeaway,1
4913,2025-01-01,364,Third-party Delivery,1
40946,2025-01-01,364,Takeaway,1
27013,2025-01-01,364,Third-party Delivery,1
49740,2025-01-01,364,Dine-in,1
23417,2025-01-01,364,Takeaway,1
29512,2025-01-01,364,Website/App,1
29751,2025-01-01,364,Website/App,1
38205,2025-01-01,364,Takeaway,1
30653,2025-01-01,364,Takeaway,1
17649,2025-01-01,364,Third-party Delivery,1
31710,2025-01-01,364,Takeaway,1
46273,2025-01-01,364,Website/App,1
14396,2025-01-01,364,Takeaway,1
14541,2025-01-01,364,Dine-in,1
22120,2025-01-01,364,Third-party Delivery,1
33671,2025-01-02,363,Website/App,1
45067,2025-01-02,363,Third-party Delivery,1
20053,2025-01-02,363,Dine-in,1
8730,2025-01-02,363,Website/App,1
20556,2025-01-02,363,Third-party Delivery,1
23473,2025-01-02,363,Dine-in,1
37750,2025-01-02,363,Website/App,1
37904,2025-01-02,363,Website/App,1
13746,2025-01-02,363,Dine-in,1
13464,2025-01-02,363,Dine-in,1
3893,2025-01-02,363,Dine-in,1
16360,2025-01-02,363,Third-party Delivery,2
22841,2025-01-02,363,Dine-in,1
8564,2025-01-02,363,Dine-in,1
27245,2025-01-02,363,Dine-in,1
14850,2025-01-02,363,Website/App,1
41532,2025-01-02,363,Third-party Delivery,1
15000,2025-01-02,363,Third-party Delivery,1
49671,2025-01-02,363,Takeaway,1
15357,2025-01-02,363,Third-party Delivery,1
45544,2025-01-02,363,Third-party Delivery,1
21286,2025-01-02,363,Dine-in,1
32634,2025-01-02,363,Takeaway,1
45532,2025-01-02,363,Third-party Delivery,1
40351,2025-01-02,363,Dine-in,1
26894,2025-01-02,363,Takeaway,1
13238,2025-01-02,363,Website/App,1
16445,2025-01-02,363,Takeaway,1
38015,2025-01-02,363,Website/App,1
13068,2025-01-02,363,Takeaway,1
29282,2025-01-02,363,Third-party Delivery,1
6299,2025-01-02,363,Third-party Delivery,1
649,2025-01-02,363,Dine-in,1
35387,2025-01-02,363,Third-party Delivery,1
1601,2025-01-02,363,Dine-in,1
12818,2025-01-02,363,Website/App,1
19448,2025-01-02,363,Takeaway,1
21627,2025-01-02,363,Website/App,1
16123,2025-01-02,363,Website/App,1
16258,2025-01-02,363,Dine-in,1
2347,2025-01-02,363,Dine-in,1
41266,2025-01-02,363,Takeaway,1
10136,2025-01-03,362,Website/App,1
2753,2025-01-03,362,Takeaway,1
37468,2025-01-03,362,Third-party Delivery,1
35664,2025-01-03,362,Dine-in,1
26559,2025-01-03,362,Takeaway,1
3358,2025-01-03,362,Dine-in,1
20901,2025-01-03,362,Website/App,1
26938,2025-01-03,362,Third-party Delivery,1
44910,2025-01-03,362,Takeaway,1
19594,2025-01-03,362,Takeaway,1
37637,2025-01-03,362,Website/App,1
21,2025-01-03,362,Dine-in,1
15519,2025-01-03,362,Dine-in,1
26115,2025-01-03,362,Dine-in,1
40716,2025-01-03,362,Dine-in,1
6758,2025-01-03,362,Dine-in,1
48065,2025-01-03,362,Dine-in,1
7429,2025-01-03,362,Third-party Delivery,1
6714,2025-01-03,362,Third-party Delivery,1
31292,2025-01-03,362,Third-party Delivery,1
13197,2025-01-03,362,Takeaway,1
23761,2025-01-03,362,Third-party Delivery,1
39001,2025-01-03,362,Website/App,1
46762,2025-01-03,362,Dine-in,1
18523,2025-01-03,362,Dine-in,1
21651,2025-01-03,362,Takeaway,1
19220,2025-01-03,362,Third-party Delivery,1
7334,2025-01-03,362,Dine-in,1
17343,2025-01-03,362,Website/App,1
49812,2025-01-04,361,Website/App,1
41424,2025-01-04,361,Takeaway,1
6872,2025-01-04,361,Dine-in,1
40345,2025-01-04,361,Website/App,1
5081,2025-01-04,361,Website/App,1
45634,2025-01-04,361,Takeaway,1
32363,2025-01-04,361,Third-party Delivery,1
20222,2025-01-04,361,Dine-in,1
8536,2025-01-04,361,Third-party Delivery,1
20019,2025-01-04,361,Website/App,1
49036,2025-01-04,361,Takeaway,1
15600,2025-01-04,361,Third-party Delivery,1
7107,2025-01-04,361,Takeaway,1
40979,2025-01-04,361,Third-party Delivery,1
25104,2025-01-04,361,Takeaway,1
46981,2025-01-04,361,Third-party Delivery,1
18377,2025-01-04,361,Website/App,1
13147,2025-01-04,361,Website/App,1
46321,2025-01-04,361,Third-party Delivery,1
12835,2025-01-04,361,Dine-in,1
14321,2025-01-04,361,Website/App,1
9539,2025-01-04,361,Third-party Delivery,1
16600,2025-01-04,361,Takeaway,1
17796,2025-01-04,361,Third-party Delivery,1
13204,2025-01-04,361,Takeaway,1
30132,2025-01-04,361,Takeaway,1
13470,2025-01-04,361,Third-party Delivery,1
6387,2025-01-04,361,Dine-in,1
29270,2025-01-04,361,Dine-in,1
28648,2025-01-04,361,Dine-in,1
17593,2025-01-04,361,Takeaway,1
26472,2025-01-04,361,Third-party Delivery,1
41318,2025-01-04,361,Dine-in,1
6906,2025-01-04,361,Takeaway,1
32577,2025-01-04,361,Third-party Delivery,1
4779,2025-01-04,361,Website/App,1
5072,2025-01-05,360,Takeaway,1
41474,2025-01-05,360,Takeaway,1
6084,2025-01-05,360,Third-party Delivery,1
43976,2025-01-05,360,Website/App,1
24083,2025-01-05,360,Website/App,1
35219,2025-01-05,360,Takeaway,1
25125,2025-01-05,360,Third-party Delivery,1
16214,2025-01-05,360,Third-party Delivery,1
3094,2025-01-05,360,Website/App,1
46617,2025-01-05,360,Dine-in,1
46959,2025-01-05,360,Website/App,1
28291,2025-01-05,360,Third-party Delivery,1
27978,2025-01-05,360,Third-party Delivery,1
16271,2025-01-05,360,Website/App,1
29002,2025-01-05,360,Takeaway,1
18351,2025-01-05,360,Dine-in,1
42389,2025-01-05,360,Website/App,1
23012,2025-01-05,360,Takeaway,1
49860,2025-01-05,360,Dine-in,1
17767,2025-01-05,360,Dine-in,1
23175,2025-01-05,360,Website/App,1
