case_id,ensemble_probability,ensemble_label
44495,1.0,1
25546,1.0,1
5543,0.0,0
8257,1.0,1
34895,1.0,1
48011,0.0,0
16986,0.0,0
13382,1.0,1
8465,0.3313,0
23800,0.0,0
32224,1.0,1
19507,1.0,1
26264,1.0,1
45974,1.0,1
25381,0.0,0
15184,0.0004,0
4577,1.0,1
37110,0.0,0
48393,1.0,1
7213,1.0,1
14144,1.0,1
13221,1.0,1
47914,1.0,1
38640,1.0,1
10102,1.0,1
34149,0.0,0
3010,1.0,1
35966,1.0,1
23307,1.0,1
44287,1.0,1
44823,0.0,0
40069,1.0,1
37304,0.0,0
13021,0.0,0
31846,1.0,1
21998,1.0,1
32696,0.0,0
38464,1.0,1
12087,1.0,1
29378,0.0,0
37346,1.0,1
13449,0.0037,0
15633,1.0,1
19238,1.0,1
21886,1.0,1
24595,0.0,0
29933,0.0,0
2438,1.0,1
6671,0.993,1
8233,1.0,1
18776,1.0,1
11406,1.0,1
8980,0.0,0
43992,0.0,0
41944,0.0,0
8090,1.0,1
11007,0.0,0
24851,0.1899,0
32031,1.0,1
11975,0.0,0
31897,0.0,0
34412,1.0,1
25759,1.0,1
39868,1.0,1
34191,1.0,1
39091,0.0,0
48530,1.0,1
22531,1.0,1
33481,1.0,1
41036,0.0,0
4851,0.0,0
32705,1.0,1
43849,0.0,0
5970,1.0,1
33370,1.0,1
41782,1.0,1
6373,0.0,0
4138,1.0,1
38720,1.0,1
15922,0.0,0
12283,0.0,0
13258,1.0,1
628,1.0,1
36417,1.0,1
13876,1.0,1
2782,1.0,1
22473,1.0,1
17669,0.2003,0
6597,1.0,1
33384,1.0,1
2520,0.0,0
25500,1.0,1
19938,1.0,1
7253,0.6023,1
6355,1.0,1
34174,0.1934,0
5944,1.0,1
24913,1.0,1
12505,0.0,0
1713,1.0,1
34667,1.0,1
13180,1.0,1
14758,1.0,1
47125,1.0,1
47067,0.0,0
14374,0.0,0
35289,1.0,1
46456,1.0,1
24507,1.0,1
23375,1.0,1
43021,1.0,1
41349,0.8313,1
29862,1.0,1
36220,1.0,1
2348,1.0,1
1550,1.0,1
41111,1.0,1
24294,1.0,1
20053,1.0,1
3550,1.0,1
35977,1.0,1
10099,1.0,1
40889,1.0,1
4090,1.0,1
25702,1.0,1
32649,0.0,0
31811,1.0,1
29402,0.0,0
31077,1.0,1
16704,1.0,1
6743,1.0,1
30994,1.0,1
39417,1.0,1
13316,1.0,1
9858,1.0,1
33815,1.0,1
42808,1.0,1
36874,1.0,1
33780,0.0,0
14926,1.0,1
303,1.0,1
46326,0.0,0
29179,0.0,0
27244,0.0,0
41753,1.0,1
21071,1.0,1
3710,1.0,1
10246,1.0,1
7555,1.0,1
10052,1.0,1
4275,1.0,1
30118,1.0,1
23710,1.0,1
25370,0.0,0
25585,1.0,1
1484,0.9986,1
37491,0.0,0
24474,1.0,1
30349,1.0,1
7368,1.0,1
38447,1.0,1
11349,1.0,1
37221,1.0,1
18317,1.0,1
45432,0.9996,1
14973,0.0,0
8194,1.0,1
38130,1.0,1
32115,1.0,1
25591,0.0002,0
6274,0.0,0
38362,0.0,0
4680,1.0,1
36801,1.0,1
45747,1.0,1
8504,1.0,1
30327,1.0,1
1792,1.0,1
42376,0.0,0
38703,1.0,1
44928,0.0212,0
30658,1.0,1
3366,0.0,0
40284,1.0,1
9626,1.0,1
14958,1.0,1
4409,1.0,1
20457,0.0,0
49514,1.0,1
40048,0.0,0
34324,1.0,1
31932,0.0,0
26996,1.0,1
26819,1.0,1
43366,0.0,0
48652,1.0,1
35538,1.0,1
6871,0.0,0
12248,0.0,0
13353,1.0,1
