case_id,ensemble_probability,ensemble_label
752,0.98,1
1960,0.0,0
2171,0.2,0
2268,0.0,0
2285,0.0,0
3090,0.0,0
3472,0.0,0
3717,0.0,0
4155,0.1267,0
4358,0.0,0
5810,0.0,0
6362,0.0133,0
6496,0.0,0
6783,0.0,0
7668,0.5067,1
7962,0.0,0
7976,0.0,0
8327,0.0133,0
8506,0.06,0
8632,0.0067,0
8827,0.0,0
8959,0.0,0
9055,0.0,0
9107,0.0,0
9258,0.0,0
9459,0.0133,0
9537,0.0,0
9704,0.0,0
9780,0.0,0
10445,0.0333,0
10703,0.0,0
11519,0.0,0
11880,0.0,0
12673,0.0,0
12813,0.0,0
12830,0.0,0
13012,0.0,0
13999,0.0,0
14006,0.0,0
14064,0.0,0
14501,0.0,0
15214,0.0933,0
15279,0.0,0
15452,0.0,0
16090,0.8933,1
16162,0.0,0
16164,0.0,0
16509,0.0,0
16636,0.0,0
16710,0.0,0
17093,0.0,0
17545,0.0,0
17694,0.0,0
17964,0.0,0
18210,0.04,0
18833,0.0,0
18917,0.0,0
19421,0.9333,1
19951,0.0,0
20083,0.0133,0
20244,0.0,0
21444,0.0,0
22645,0.04,0
22665,0.0,0
23376,0.0333,0
23889,0.0067,0
23938,0.0,0
24528,0.1467,0
26146,0.02,0
26380,0.0,0
26608,0.0,0
26744,0.74,1
27233,0.0,0
27601,0.0,0
27608,0.0,0
27622,0.0,0
27664,0.96,1
28104,0.0,0
28476,0.0,0
28792,0.0,0
29352,0.0,0
29500,0.0,0
30044,0.0,0
30166,0.9,1
30385,0.4,0
30623,0.0,0
30910,0.0133,0
31228,0.0,0
32151,0.0,0
32577,0.0,0
33013,0.9267,1
33050,0.0,0
33242,0.9467,1
33464,0.0133,0
33943,0.0,0
34301,0.0,0
34758,0.9,1
34764,0.0,0
35440,0.0067,0
36231,0.0,0
