promotion_id,promotion_name,restaurant_id,discount_percentage,start_date,end_date,promo_orders,control_orders,promo_avg_order_value,control_avg_order_value,aov_lift_percentage,promo_discount_spent,incremental_revenue_estimate,efficiency_ratio,promotion_trap
77,Promotion 077,7,10,2025-11-01,2025-12-28,196,530,12485.89,12106.85,3.13,119307.68,74291.82,0.623,False
93,Promotion 093,15,25,2025-10-01,2025-11-28,129,494,17923.2,17475.88,2.56,147984.79,57704.87,0.39,False
119,Promotion 119,15,15,2025-10-01,2025-10-28,38,230,18236.82,17197.82,6.04,25403.35,39482.08,1.554,False
33,Promotion 033,5,5,2025-11-01,2025-12-28,124,532,17329.03,17035.36,1.72,95670.09,36414.94,0.381,False
40,Promotion 040,1,10,2025-06-01,2025-08-28,96,802,12100.41,11742.83,3.05,66089.54,34328.05,0.519,False
76,Promotion 076,12,5,2025-11-01,2025-11-28,36,247,22042.73,21243.66,3.76,31237.72,28766.44,0.921,False
18,Promotion 018,3,5,2025-02-01,2025-03-28,108,425,11215.92,10961.96,2.32,56095.68,27427.52,0.489,False
51,Promotion 051,2,15,2025-03-01,2025-03-28,26,216,18145.75,17246.33,5.22,24164.8,23384.78,0.968,False
117,Promotion 117,6,20,2025-08-01,2025-09-28,78,467,15619.58,15319.85,1.96,66423.26,23379.36,0.352,False
49,Promotion 049,2,25,2025-04-01,2025-04-28,11,244,19206.23,17195.03,11.7,13485.94,22123.18,1.64,False
52,Promotion 052,6,15,2025-01-01,2025-03-28,88,640,15701.57,15485.97,1.39,71154.25,18973.25,0.267,False
31,Promotion 031,11,20,2025-08-01,2025-08-28,27,225,12451.28,11797.85,5.54,14810.26,17642.75,1.191,False
96,Promotion 096,11,10,2025-07-01,2025-08-28,102,491,11975.52,11803.46,1.46,56326.95,17550.24,0.312,False
25,Promotion 025,11,20,2025-02-01,2025-03-28,53,440,12175.55,11917.95,2.16,34104.0,13652.5,0.4,False
81,Promotion 081,17,10,2025-09-01,2025-11-28,108,665,11769.54,11645.13,1.07,56879.76,13435.87,0.236,False
116,Promotion 116,10,10,2025-07-01,2025-08-28,156,516,6691.39,6605.66,1.3,46908.78,13374.48,0.285,False
32,Promotion 032,1,25,2025-01-01,2025-01-28,61,180,11868.31,11691.92,1.51,58570.85,10759.88,0.184,False
88,Promotion 088,8,5,2025-01-01,2025-01-28,29,198,7713.95,7343.53,5.04,8764.68,10742.28,1.226,False
57,Promotion 057,12,25,2025-11-01,2025-11-28,33,247,21567.68,21243.66,1.53,56502.98,10692.47,0.189,False
67,Promotion 067,1,10,2025-10-01,2025-11-28,48,509,11865.18,11759.65,0.9,35309.2,5065.12,0.143,False
43,Promotion 043,8,15,2025-10-01,2025-12-28,174,817,7475.48,7449.12,0.35,63228.87,4586.29,0.073,True
54,Promotion 054,1,15,2025-05-01,2025-05-28,33,250,11764.94,11626.85,1.19,13290.77,4557.14,0.343,False
42,Promotion 042,12,5,2025-11-01,2025-12-28,109,544,21456.33,21416.21,0.19,86909.02,4373.26,0.05,True
103,Promotion 103,1,5,2025-09-01,2025-11-28,85,699,11832.78,11783.45,0.42,35316.28,4192.83,0.119,False
35,Promotion 035,8,10,2025-10-01,2025-11-28,84,526,7480.21,7445.71,0.46,32461.38,2898.15,0.089,True
60,Promotion 060,5,5,2025-11-01,2025-11-28,31,255,16984.74,16928.59,0.33,20936.2,1740.55,0.083,True
46,Promotion 046,11,10,2025-08-01,2025-09-28,37,471,11922.66,11877.95,0.38,13650.15,1654.09,0.121,False
69,Promotion 069,4,15,2025-01-01,2025-01-28,50,175,7880.63,7887.13,-0.08,20331.81,-324.61,-0.016,True
53,Promotion 053,15,25,2025-07-01,2025-08-28,72,500,17412.5,17423.53,-0.06,69671.5,-794.33,-0.011,True
115,Promotion 115,19,10,2025-10-01,2025-10-28,67,238,3615.72,3643.27,-0.76,12493.07,-1845.77,-0.148,True
108,Promotion 108,6,5,2025-01-01,2025-02-28,50,446,15431.05,15473.93,-0.28,29879.0,-2144.02,-0.072,True
109,Promotion 109,4,10,2025-11-01,2025-12-28,87,520,7770.46,7798.26,-0.36,36340.32,-2419.05,-0.067,True
15,Promotion 015,10,30,2025-06-01,2025-06-28,77,248,6629.85,6671.96,-0.63,32578.89,-3242.29,-0.1,True
101,Promotion 101,9,10,2025-05-01,2025-06-28,94,503,4797.52,4832.8,-0.73,23636.29,-3316.28,-0.14,True
34,Promotion 034,6,25,2025-03-01,2025-03-28,24,194,15350.9,15513.64,-1.05,16000.95,-3905.85,-0.244,True
87,Promotion 087,19,15,2025-06-01,2025-06-28,38,270,3580.54,3690.0,-2.97,7088.45,-4159.45,-0.587,True
74,Promotion 074,6,15,2025-02-01,2025-02-28,27,222,15337.35,15511.21,-1.12,13811.83,-4694.12,-0.34,True
36,Promotion 036,2,30,2025-02-01,2025-04-28,105,674,17213.41,17264.5,-0.3,106496.29,-5364.88,-0.05,True
78,Promotion 078,18,10,2025-07-01,2025-08-28,60,522,7615.7,7711.77,-1.25,23320.22,-5764.09,-0.247,True
105,Promotion 105,1,10,2025-08-01,2025-10-28,127,708,11777.97,11825.45,-0.4,72516.53,-6029.88,-0.083,True
71,Promotion 071,6,10,2025-11-01,2025-12-28,93,540,15342.24,15413.41,-0.46,57234.96,-6619.11,-0.116,True
64,Promotion 064,3,25,2025-11-01,2025-12-28,85,537,11134.26,11217.24,-0.74,57863.21,-7053.18,-0.122,True
102,Promotion 102,1,30,2025-06-01,2025-07-28,44,530,11566.75,11741.08,-1.48,36517.06,-7670.56,-0.21,True
50,Promotion 050,9,10,2025-08-01,2025-09-28,143,484,4801.06,4855.9,-1.13,32044.87,-7842.71,-0.245,True
47,Promotion 047,8,10,2025-07-01,2025-09-28,159,705,7481.94,7532.22,-0.67,65939.41,-7995.4,-0.121,True
11,Promotion 011,10,30,2025-10-01,2025-10-28,40,246,6500.51,6704.08,-3.04,17389.07,-8142.45,-0.468,True
44,Promotion 044,18,5,2025-07-01,2025-08-28,63,522,7580.87,7711.77,-1.7,24296.68,-8247.04,-0.339,True
92,Promotion 092,16,5,2025-03-01,2025-03-28,68,212,13094.67,13216.53,-0.92,37199.82,-8286.94,-0.223,True
28,Promotion 028,19,15,2025-05-01,2025-06-28,128,520,3616.63,3681.59,-1.76,25146.38,-8314.55,-0.331,True
120,Promotion 120,11,30,2025-08-01,2025-09-28,40,471,11661.94,11877.95,-1.82,32847.37,-8640.58,-0.263,True
14,Promotion 014,17,10,2025-01-01,2025-02-28,123,415,11413.45,11486.3,-0.63,63553.87,-8959.6,-0.141,True
56,Promotion 056,9,20,2025-05-01,2025-06-28,88,503,4722.26,4832.8,-2.29,21277.16,-9727.91,-0.457,True
12,Promotion 012,7,25,2025-10-01,2025-10-28,72,233,11970.43,12106.83,-1.13,54840.6,-9820.48,-0.179,True
39,Promotion 039,9,30,2025-10-01,2025-10-28,77,214,4671.67,4803.64,-2.75,28292.93,-10160.96,-0.359,True
86,Promotion 086,20,20,2025-05-01,2025-06-28,69,561,5425.57,5580.62,-2.78,23408.37,-10698.53,-0.457,True
83,Promotion 083,18,10,2025-06-01,2025-08-28,109,798,7592.61,7702.5,-1.43,36232.92,-11978.08,-0.331,True
5,Promotion 005,4,5,2025-11-01,2025-12-28,99,520,7672.21,7798.26,-1.62,30075.73,-12479.7,-0.415,True
9,Promotion 009,3,30,2025-01-01,2025-01-28,72,208,10920.42,11100.38,-1.62,53753.12,-12957.53,-0.241,True
30,Promotion 030,14,25,2025-04-01,2025-04-28,33,184,8011.57,8476.39,-5.48,11222.32,-15339.13,-1.367,True
58,Promotion 058,20,5,2025-01-01,2025-02-28,149,373,5506.9,5611.35,-1.86,36583.88,-15564.02,-0.425,True
19,Promotion 019,7,20,2025-07-01,2025-07-28,76,263,11868.2,12093.67,-1.86,56799.72,-17136.04,-0.302,True
113,Promotion 113,20,30,2025-08-01,2025-09-28,79,484,5336.05,5557.6,-3.99,31503.29,-17502.42,-0.556,True
100,Promotion 100,6,5,2025-02-01,2025-03-28,48,416,15112.46,15512.34,-2.58,32063.65,-19194.52,-0.599,True
37,Promotion 037,20,25,2025-08-01,2025-09-28,82,484,5318.13,5557.6,-4.31,36210.43,-19636.28,-0.542,True
90,Promotion 090,3,15,2025-03-01,2025-03-28,43,228,10498.92,10965.18,-4.25,20048.12,-20049.15,-1.0,True
111,Promotion 111,15,20,2025-05-01,2025-06-28,88,505,17178.45,17412.0,-1.34,80090.87,-20552.11,-0.257,True
45,Promotion 045,20,30,2025-04-01,2025-06-28,121,799,5372.13,5549.4,-3.19,54123.53,-21450.05,-0.396,True
1,Promotion 001,8,20,2025-01-01,2025-02-28,103,421,7184.41,7393.28,-2.83,42667.7,-21513.21,-0.504,True
3,Promotion 003,13,10,2025-06-01,2025-06-28,62,275,9261.38,9641.15,-3.94,31140.43,-23545.21,-0.756,True
20,Promotion 020,10,25,2025-10-01,2025-12-28,237,800,6690.64,6790.11,-1.46,98037.71,-23574.35,-0.24,True
24,Promotion 024,15,30,2025-08-01,2025-08-28,19,231,15995.3,17293.89,-7.51,22143.27,-24673.18,-1.114,True
85,Promotion 085,14,15,2025-04-01,2025-04-28,35,184,7767.99,8476.39,-8.36,10926.77,-24794.12,-2.269,True
17,Promotion 017,16,5,2025-09-01,2025-09-28,84,220,12857.44,13155.95,-2.27,58542.98,-25075.25,-0.428,True
41,Promotion 041,14,20,2025-10-01,2025-10-28,68,204,8118.07,8497.01,-4.46,35147.56,-25767.83,-0.733,True
107,Promotion 107,17,25,2025-11-01,2025-11-28,29,216,10758.29,11660.97,-7.74,19856.63,-26177.78,-1.318,True
79,Promotion 079,15,25,2025-06-01,2025-07-28,86,500,17143.18,17451.21,-1.77,84532.73,-26490.71,-0.313,True
110,Promotion 110,1,15,2025-10-01,2025-12-28,153,816,11626.97,11811.32,-1.56,89399.59,-28205.71,-0.316,True
112,Promotion 112,2,25,2025-04-01,2025-04-28,14,244,15137.23,17195.03,-11.97,22399.18,-28809.22,-1.286,True
8,Promotion 008,2,20,2025-09-01,2025-10-28,80,461,17170.05,17553.43,-2.18,73675.86,-30670.64,-0.416,True
118,Promotion 118,5,5,2025-09-01,2025-11-28,181,708,16860.9,17030.35,-1.0,114256.12,-30670.86,-0.268,True
95,Promotion 095,17,30,2025-09-01,2025-10-28,67,423,11148.9,11610.28,-3.97,56832.0,-30912.41,-0.544,True
66,Promotion 066,18,10,2025-08-01,2025-10-28,198,726,7514.86,7671.77,-2.05,65765.62,-31069.19,-0.472,True
68,Promotion 068,15,10,2025-08-01,2025-09-28,96,470,17034.86,17364.26,-1.9,84233.9,-31622.38,-0.375,True
82,Promotion 082,11,30,2025-09-01,2025-11-28,118,704,11608.82,11880.01,-2.28,101311.87,-32001.23,-0.316,True
29,Promotion 029,20,25,2025-03-01,2025-05-28,165,732,5302.16,5496.75,-3.54,60701.0,-32106.81,-0.529,True
