month,order_channel,orders,revenue
2025-01,Dine-in,1358,15242361.78
2025-01,Takeaway,1369,15127568.24
2025-01,Third-party Delivery,1377,15316851.18
2025-01,Website/App,1404,15634352.7
2025-02,Dine-in,1356,15033635.61
2025-02,Takeaway,1395,15509897.92
2025-02,Third-party Delivery,1329,14787467.58
2025-02,Website/App,1314,14794914.77
2025-03,Dine-in,1532,16927177.72
2025-03,Takeaway,1590,17699131.3
2025-03,Third-party Delivery,1627,18351079.57
2025-03,Website/App,1534,17141912.05
2025-04,Dine-in,1566,17118273.04
2025-04,Takeaway,1573,17702147.95
2025-04,Third-party Delivery,1574,17627428.81
2025-04,Website/App,1594,17720543.01
2025-05,Dine-in,1760,19411286.05
2025-05,Takeaway,1771,19276053.84
2025-05,Third-party Delivery,1713,19093242.04
2025-05,Website/App,1681,18406333.18
2025-06,Dine-in,1838,19835742.76
2025-06,Takeaway,1879,20658370.32
2025-06,Third-party Delivery,1878,21002728.92
2025-06,Website/App,1841,20587269.66
2025-07,Dine-in,1867,20621689.85
2025-07,Takeaway,1888,20330502.93
2025-07,Third-party Delivery,1779,19758415.06
2025-07,Website/App,1775,19485064.85
2025-08,Dine-in,1780,19611796.67
2025-08,Takeaway,1796,19848404.26
2025-08,Third-party Delivery,1703,18837138.04
2025-08,Website/App,1746,19283256.92
2025-09,Dine-in,1489,16369941.91
2025-09,Takeaway,1504,16825941.52
2025-09,Third-party Delivery,1533,16846858.31
2025-09,Website/App,1484,16283032.01
2025-10,Dine-in,1553,17054883.43
2025-10,Takeaway,1582,17531201.96
2025-10,Third-party Delivery,1746,19343694.73
2025-10,Website/App,1669,18732029.38
2025-11,Dine-in,1798,20315277.61
2025-11,Takeaway,1784,19646185.8
2025-11,Third-party Delivery,1790,20243936.64
2025-11,Website/App,1749,19293549.25
2025-12,Dine-in,2019,22401396.06
2025-12,Takeaway,2007,22366402.61
2025-12,Third-party Delivery,1994,22404502.41
2025-12,Website/App,2042,22576797.14
