customer_id,last_order_date,days_since,preferred_channel,total_orders
14396,2025-01-01,364,Takeaway,1
14541,2025-01-01,364,Dine-in,1
49740,2025-01-01,364,Dine-in,1
43513,2025-01-01,364,Takeaway,1
44641,2025-01-01,364,Dine-in,1
9420,2025-01-01,364,Third-party Delivery,1
30653,2025-01-01,364,Takeaway,1
22120,2025-01-01,364,Third-party Delivery,1
21385,2025-01-01,364,Third-party Delivery,1
29512,2025-01-01,364,Website/App,1
7900,2025-01-01,364,Takeaway,1
38205,2025-01-01,364,Takeaway,1
12004,2025-01-01,364,Website/App,1
46273,2025-01-01,364,Website/App,1
28894,2025-01-01,364,Third-party Delivery,1
27013,2025-01-01,364,Third-party Delivery,1
17649,2025-01-01,364,Third-party Delivery,1
40946,2025-01-01,364,Takeaway,1
13178,2025-01-01,364,Takeaway,1
40392,2025-01-01,364,Website/App,1
31710,2025-01-01,364,Takeaway,1
44676,2025-01-01,364,Takeaway,1
23417,2025-01-01,364,Takeaway,1
31686,2025-01-01,364,Takeaway,1
21292,2025-01-01,364,Third-party Delivery,1
4913,2025-01-01,364,Third-party Delivery,1
29751,2025-01-01,364,Website/App,1
25921,2025-01-01,364,Website/App,1
49940,2025-01-01,364,Takeaway,1
16258,2025-01-02,363,Dine-in,1
38015,2025-01-02,363,Website/App,1
29282,2025-01-02,363,Third-party Delivery,1
32634,2025-01-02,363,Takeaway,1
2347,2025-01-02,363,Dine-in,1
37750,2025-01-02,363,Website/App,1
16445,2025-01-02,363,Takeaway,1
1601,2025-01-02,363,Dine-in,1
20053,2025-01-02,363,Dine-in,1
13746,2025-01-02,363,Dine-in,1
13238,2025-01-02,363,Website/App,1
13464,2025-01-02,363,Dine-in,1
26894,2025-01-02,363,Takeaway,1
19448,2025-01-02,363,Takeaway,1
8564,2025-01-02,363,Dine-in,1
45067,2025-01-02,363,Third-party Delivery,1
41532,2025-01-02,363,Third-party Delivery,1
3893,2025-01-02,363,Dine-in,1
41266,2025-01-02,363,Takeaway,1
49671,2025-01-02,363,Takeaway,1
16360,2025-01-02,363,Third-party Delivery,2
37904,2025-01-02,363,Website/App,1
16123,2025-01-02,363,Website/App,1
14850,2025-01-02,363,Website/App,1
6299,2025-01-02,363,Third-party Delivery,1
40351,2025-01-02,363,Dine-in,1
21286,2025-01-02,363,Dine-in,1
21627,2025-01-02,363,Website/App,1
12818,2025-01-02,363,Website/App,1
13068,2025-01-02,363,Takeaway,1
20556,2025-01-02,363,Third-party Delivery,1
15357,2025-01-02,363,Third-party Delivery,1
649,2025-01-02,363,Dine-in,1
8730,2025-01-02,363,Website/App,1
23473,2025-01-02,363,Dine-in,1
15000,2025-01-02,363,Third-party Delivery,1
35387,2025-01-02,363,Third-party Delivery,1
22841,2025-01-02,363,Dine-in,1
33671,2025-01-02,363,Website/App,1
27245,2025-01-02,363,Dine-in,1
45532,2025-01-02,363,Third-party Delivery,1
45544,2025-01-02,363,Third-party Delivery,1
37468,2025-01-03,362,Third-party Delivery,1
13197,2025-01-03,362,Takeaway,1
35664,2025-01-03,362,Dine-in,1
44910,2025-01-03,362,Takeaway,1
26115,2025-01-03,362,Dine-in,1
15519,2025-01-03,362,Dine-in,1
23761,2025-01-03,362,Third-party Delivery,1
31292,2025-01-03,362,Third-party Delivery,1
21,2025-01-03,362,Dine-in,1
26559,2025-01-03,362,Takeaway,1
7334,2025-01-03,362,Dine-in,1
48065,2025-01-03,362,Dine-in,1
7429,2025-01-03,362,Third-party Delivery,1
20901,2025-01-03,362,Website/App,1
18523,2025-01-03,362,Dine-in,1
40716,2025-01-03,362,Dine-in,1
19220,2025-01-03,362,Third-party Delivery,1
19594,2025-01-03,362,Takeaway,1
37637,2025-01-03,362,Website/App,1
3358,2025-01-03,362,Dine-in,1
6758,2025-01-03,362,Dine-in,1
26938,2025-01-03,362,Third-party Delivery,1
6714,2025-01-03,362,Third-party Delivery,1
17343,2025-01-03,362,Website/App,1
10136,2025-01-03,362,Website/App,1
39001,2025-01-03,362,Website/App,1
46762,2025-01-03,362,Dine-in,1
21651,2025-01-03,362,Takeaway,1
2753,2025-01-03,362,Takeaway,1
6387,2025-01-04,361,Dine-in,1
28648,2025-01-04,361,Dine-in,1
30132,2025-01-04,361,Takeaway,1
14321,2025-01-04,361,Website/App,1
40979,2025-01-04,361,Third-party Delivery,1
13147,2025-01-04,361,Website/App,1
13204,2025-01-04,361,Takeaway,1
4779,2025-01-04,361,Website/App,1
41318,2025-01-04,361,Dine-in,1
5081,2025-01-04,361,Website/App,1
13470,2025-01-04,361,Third-party Delivery,1
7107,2025-01-04,361,Takeaway,1
6906,2025-01-04,361,Takeaway,1
17796,2025-01-04,361,Third-party Delivery,1
6872,2025-01-04,361,Dine-in,1
20019,2025-01-04,361,Website/App,1
17593,2025-01-04,361,Takeaway,1
49036,2025-01-04,361,Takeaway,1
45634,2025-01-04,361,Takeaway,1
26472,2025-01-04,361,Third-party Delivery,1
8536,2025-01-04,361,Third-party Delivery,1
32363,2025-01-04,361,Third-party Delivery,1
18377,2025-01-04,361,Website/App,1
25104,2025-01-04,361,Takeaway,1
12835,2025-01-04,361,Dine-in,1
49812,2025-01-04,361,Website/App,1
40345,2025-01-04,361,Website/App,1
32577,2025-01-04,361,Third-party Delivery,1
41424,2025-01-04,361,Takeaway,1
16600,2025-01-04,361,Takeaway,1
46321,2025-01-04,361,Third-party Delivery,1
29270,2025-01-04,361,Dine-in,1
15600,2025-01-04,361,Third-party Delivery,1
20222,2025-01-04,361,Dine-in,1
9539,2025-01-04,361,Third-party Delivery,1
46981,2025-01-04,361,Third-party Delivery,1
42389,2025-01-05,360,Website/App,1
48975,2025-01-05,360,Dine-in,1
24083,2025-01-05,360,Website/App,1
41474,2025-01-05,360,Takeaway,1
46959,2025-01-05,360,Website/App,1
49860,2025-01-05,360,Dine-in,1
16271,2025-01-05,360,Website/App,1
16214,2025-01-05,360,Third-party Delivery,1
43976,2025-01-05,360,Website/App,1
35219,2025-01-05,360,Takeaway,1
28291,2025-01-05,360,Third-party Delivery,1
27047,2025-01-05,360,Website/App,1
46617,2025-01-05,360,Dine-in,1
18351,2025-01-05,360,Dine-in,1
25125,2025-01-05,360,Third-party Delivery,1
8877,2025-01-05,360,Website/App,1
23175,2025-01-05,360,Website/App,1
37910,2025-01-05,360,Takeaway,1
23012,2025-01-05,360,Takeaway,1
3094,2025-01-05,360,Website/App,1
17767,2025-01-05,360,Dine-in,1
6084,2025-01-05,360,Third-party Delivery,1
5072,2025-01-05,360,Takeaway,1
40866,2025-01-05,360,Website/App,1
29002,2025-01-05,360,Takeaway,1
27978,2025-01-05,360,Third-party Delivery,1
47501,2025-01-06,359,Website/App,1
15413,2025-01-06,359,Takeaway,1
43117,2025-01-06,359,Takeaway,1
28486,2025-01-06,359,Third-party Delivery,1
19671,2025-01-06,359,Dine-in,1
40954,2025-01-06,359,Dine-in,1
49184,2025-01-06,359,Dine-in,1
11198,2025-01-06,359,Third-party Delivery,1
31822,2025-01-06,359,Website/App,1
616,2025-01-06,359,Takeaway,1
48508,2025-01-06,359,Dine-in,1
28797,2025-01-06,359,Third-party Delivery,1
1477,2025-01-06,359,Website/App,1
18139,2025-01-06,359,Dine-in,1
13913,2025-01-06,359,Takeaway,1
28808,2025-01-06,359,Takeaway,1
46750,2025-01-06,359,Dine-in,2
10097,2025-01-06,359,Third-party Delivery,1
49842,2025-01-06,359,Dine-in,1
29344,2025-01-06,359,Website/App,1
41771,2025-01-06,359,Takeaway,1
18613,2025-01-06,359,Third-party Delivery,1
48112,2025-01-06,359,Third-party Delivery,1
27085,2025-01-07,358,Dine-in,1
16722,2025-01-07,358,Third-party Delivery,1
29521,2025-01-07,358,Dine-in,1
24872,2025-01-07,358,Takeaway,1
28386,2025-01-07,358,Takeaway,1
34366,2025-01-07,358,Third-party Delivery,1
5224,2025-01-07,358,Third-party Delivery,1
36786,2025-01-07,358,Dine-in,1
32508,2025-01-07,358,Dine-in,1
15482,2025-01-07,358,Website/App,1
47333,2025-01-07,358,Website/App,1
46641,2025-01-07,358,Dine-in,1
47306,2025-01-07,358,Dine-in,1
9850,2025-01-07,358,Website/App,1
23900,2025-01-07,358,Takeaway,1
19488,2025-01-07,358,Website/App,1
37619,2025-01-07,358,Website/App,2
5922,2025-01-07,358,Third-party Delivery,1
32195,2025-01-07,358,Dine-in,1
40645,2025-01-07,358,Takeaway,1
43112,2025-01-07,358,Takeaway,1
29441,2025-01-07,358,Dine-in,1
22190,2025-01-07,358,Third-party Delivery,1
14478,2025-01-07,358,Third-party Delivery,1
13137,2025-01-08,357,Third-party Delivery,1
40379,2025-01-08,357,Takeaway,1
33973,2025-01-08,357,Third-party Delivery,1
9983,2025-01-08,357,Dine-in,1
25436,2025-01-08,357,Third-party Delivery,1
15972,2025-01-08,357,Third-party Delivery,1
25732,2025-01-08,357,Third-party Delivery,1
1122,2025-01-08,357,Dine-in,1
4619,2025-01-08,357,Dine-in,1
1368,2025-01-08,357,Third-party Delivery,1
16898,2025-01-08,357,Takeaway,1
43718,2025-01-08,357,Third-party Delivery,1
31826,2025-01-08,357,Takeaway,1
1409,2025-01-08,357,Dine-in,1
24334,2025-01-08,357,Third-party Delivery,1
45241,2025-01-08,357,Takeaway,1
3409,2025-01-08,357,Takeaway,1
45196,2025-01-08,357,Website/App,1
13138,2025-01-08,357,Takeaway,1
8156,2025-01-08,357,Dine-in,1
2099,2025-01-08,357,Website/App,1
27097,2025-01-08,357,Third-party Delivery,1
22472,2025-01-08,357,Dine-in,1
42852,2025-01-08,357,Third-party Delivery,1
16715,2025-01-08,357,Website/App,1
38613,2025-01-08,357,Website/App,2
44839,2025-01-08,357,Dine-in,2
3785,2025-01-08,357,Third-party Delivery,1
48782,2025-01-08,357,Website/App,1
7301,2025-01-08,357,Third-party Delivery,1
29627,2025-01-08,357,Website/App,1
48852,2025-01-08,357,Website/App,1
5661,2025-01-08,357,Takeaway,1
12148,2025-01-08,357,Takeaway,1
28213,2025-01-08,357,Website/App,1
