month,city_area,orders,revenue
2025-01,Central-15,277,4827572.5
2025-01,Central-5,268,4519156.36
2025-01,Clifton-17,266,3042404.53
2025-01,Clifton-7,278,3356805.04
2025-01,Defence-19,274,1025378.46
2025-01,Defence-9,270,1287626.74
2025-01,East-13,291,2697762.01
2025-01,East-3,310,3393378.76
2025-01,Garden-16,280,3618447.34
2025-01,Garden-6,301,4627274.37
2025-01,Gulshan-18,254,1911017.69
2025-01,Gulshan-8,273,1984599.2
2025-01,Korangi-10,308,2051493.11
2025-01,Korangi-20,271,1492799.43
2025-01,North-1,265,3088564.78
2025-01,North-11,285,3385085.85
2025-01,South-12,275,5937271.81
2025-01,South-2,248,4314514.9
2025-01,West-14,257,2098386.52
2025-01,West-4,257,2013884.38
2025-02,Central-15,302,5265870.08
2025-02,Central-5,267,4398848.68
2025-02,Clifton-17,272,3082154.77
2025-02,Clifton-7,301,3656213.39
2025-02,Defence-19,284,1017932.04
2025-02,Defence-9,262,1255454.55
2025-02,East-13,285,2651786.82
2025-02,East-3,266,2892718.76
2025-02,Garden-16,255,3322229.06
2025-02,Garden-6,306,4665534.91
2025-02,Gulshan-18,245,1882568.23
2025-02,Gulshan-8,280,2029412.28
2025-02,Korangi-10,291,1897107.19
2025-02,Korangi-20,251,1379309.02
2025-02,North-1,228,2711779.88
2025-02,North-11,264,3051065.61
2025-02,South-12,283,6001772.86
2025-02,South-2,252,4373501.75
2025-02,West-14,261,2152993.09
2025-02,West-4,239,1861185.0
2025-03,Central-15,326,5698437.38
2025-03,Central-5,288,4729943.47
2025-03,Clifton-17,316,3602888.92
2025-03,Clifton-7,327,3920753.82
2025-03,Defence-19,285,1029752.96
2025-03,Defence-9,299,1426864.21
2025-03,East-13,281,2680102.03
2025-03,East-3,337,3619993.65
2025-03,Garden-16,311,4073983.6
2025-03,Garden-6,298,4553882.24
2025-03,Gulshan-18,340,2598448.24
2025-03,Gulshan-8,301,2192818.18
2025-03,Korangi-10,317,2071342.3
2025-03,Korangi-20,315,1713542.88
2025-03,North-1,309,3616430.88
2025-03,North-11,329,3897526.91
2025-03,South-12,334,7268643.31
2025-03,South-2,328,5536536.95
2025-03,West-14,337,2729817.84
2025-03,West-4,305,2380156.35
2025-04,Central-15,320,5473638.11
2025-04,Central-5,317,5338573.08
2025-04,Clifton-17,333,3817056.39
2025-04,Clifton-7,319,3864824.47
