order_id,customer_id,restaurant_id,order_date,order_time,order_status,order_channel,payment_method,promotion_id,total_amount,restaurant_name,restaurant_type,location_id,city_area,gender,preferred_channel,promotion_name,promotion_type
1,12100,14,2025-04-08,19:03:00,Completed,Website/App,Online Wallet,,8839.63,Restaurant 014,Cafe,14,West-14,Other,Dine-in,,
2,16082,9,2025-05-05,20:47:00,Completed,Takeaway,Card,56,4657.21,Restaurant 009,Cafe,9,Defence-9,Other,Dine-in,Promotion 056,Percentage Discount
3,22563,18,2025-12-24,13:18:00,Completed,Third-party Delivery,Cash,,7137.36,Restaurant 018,Fast Food,18,Gulshan-18,Male,Dine-in,,
4,49144,11,2025-06-18,21:33:00,Completed,Website/App,Online Wallet,,15837.56,Restaurant 011,Cafe,11,North-11,Other,Website/App,,
5,37485,5,2025-02-10,21:03:00,Completed,Takeaway,Online Wallet,,12874.6,Restaurant 005,Casual Dining,5,Central-5,Male,Website/App,,
6,14697,16,2025-11-24,18:10:00,Completed,Third-party Delivery,Card,,11823.29,Restaurant 016,Cafe,16,Garden-16,Female,Website/App,,
7,17229,12,2025-03-10,19:39:00,Completed,Takeaway,Cash,,20275.96,Restaurant 012,Fast Food,12,South-12,Male,Website/App,,
8,40705,8,2025-06-30,12:18:00,Completed,Website/App,Cash,,7987.91,Restaurant 008,Family Restaurant,8,Gulshan-8,Female,Takeaway,,
11,25880,13,2025-12-03,21:30:00,Completed,Dine-in,Cash,,6157.21,Restaurant 013,Cafe,13,East-13,Male,Takeaway,,
12,45758,2,2025-07-28,18:03:00,Completed,Website/App,Card,,14427.72,Restaurant 002,Casual Dining,2,South-2,Other,Third-party Delivery,,
13,4968,5,2025-04-18,21:53:00,Completed,Third-party Delivery,Online Wallet,,21166.6,Restaurant 005,Casual Dining,5,Central-5,Other,Dine-in,,
14,14181,10,2025-08-24,21:42:00,Completed,Website/App,Online Wallet,,6928.44,Restaurant 010,Family Restaurant,10,Korangi-10,Male,Third-party Delivery,,
15,29080,2,2025-11-16,20:50:00,Completed,Third-party Delivery,Online Wallet,,18784.17,Restaurant 002,Casual Dining,2,South-2,Male,Website/App,,
17,9397,11,2025-01-13,14:57:00,Completed,Dine-in,Card,,11087.09,Restaurant 011,Cafe,11,North-11,Female,Website/App,,
18,20305,3,2025-09-03,19:09:00,Completed,Website/App,Online Wallet,,10877.62,Restaurant 003,Fast Food,3,East-3,Female,Website/App,,
19,34157,6,2025-08-16,20:18:00,Completed,Website/App,Card,,15688.81,Restaurant 006,Fast Food,6,Garden-6,Male,Third-party Delivery,,
21,40341,6,2025-12-25,21:34:00,Completed,Dine-in,Cash,,18281.75,Restaurant 006,Fast Food,6,Garden-6,Female,Dine-in,,
23,13451,17,2025-09-13,20:07:00,Completed,Website/App,Cash,75,9662.94,Restaurant 017,Casual Dining,17,Clifton-17,Other,Website/App,Promotion 075,Seasonal
24,35416,15,2025-12-12,20:29:00,Completed,Takeaway,Cash,,13602.8,Restaurant 015,Fast Food,15,Central-15,Male,Third-party Delivery,,
25,35391,12,2025-04-18,13:04:00,Completed,Third-party Delivery,Card,,14711.28,Restaurant 012,Fast Food,12,South-12,Other,Dine-in,,
26,7604,19,2025-03-05,19:26:00,Completed,Takeaway,Card,,3491.19,Restaurant 019,Fast Food,19,Defence-19,Female,Dine-in,,
28,30796,16,2025-06-28,22:42:00,Completed,Takeaway,Card,,9764.59,Restaurant 016,Cafe,16,Garden-16,Male,Takeaway,,
29,42314,14,2025-06-14,20:34:00,Completed,Dine-in,Online Wallet,,8403.93,Restaurant 014,Cafe,14,West-14,Male,Dine-in,,
30,36443,7,2025-10-26,13:44:00,Completed,Third-party Delivery,Card,12,10183.14,Restaurant 007,Casual Dining,7,Clifton-7,Other,Dine-in,Promotion 012,Percentage Discount
31,21475,12,2025-06-22,18:15:00,Completed,Takeaway,Online Wallet,,25321.86,Restaurant 012,Fast Food,12,South-12,Female,Third-party Delivery,,
32,2636,2,2025-06-14,11:45:00,Completed,Dine-in,Online Wallet,6,19620.22,Restaurant 002,Casual Dining,2,South-2,Other,Third-party Delivery,Promotion 006,Seasonal
33,32596,14,2025-10-28,12:58:00,Completed,Third-party Delivery,Card,,9076.22,Restaurant 014,Cafe,14,West-14,Male,Website/App,,
34,1129,19,2025-12-10,12:41:00,Completed,Website/App,Online Wallet,,3682.11,Restaurant 019,Fast Food,19,Defence-19,Male,Dine-in,,
36,11354,9,2025-05-01,18:10:00,Completed,Dine-in,Card,101,4706.74,Restaurant 009,Cafe,9,Defence-9,Female,Dine-in,Promotion 101,Percentage Discount
37,260,2,2025-02-24,13:52:00,Completed,Third-party Delivery,Card,,18662.18,Restaurant 002,Casual Dining,2,South-2,Female,Website/App,,
38,17311,14,2025-08-28,11:25:00,Completed,Dine-in,Card,,5414.99,Restaurant 014,Cafe,14,West-14,Other,Takeaway,,
39,482,6,2025-05-24,12:34:00,Completed,Third-party Delivery,Cash,,18590.75,Restaurant 006,Fast Food,6,Garden-6,Other,Website/App,,
40,2706,17,2025-01-11,18:44:00,Completed,Takeaway,Cash,,10186.77,Restaurant 017,Casual Dining,17,Clifton-17,Other,Website/App,,
41,1444,19,2025-04-09,18:26:00,Completed,Website/App,Cash,,4412.04,Restaurant 019,Fast Food,19,Defence-19,Male,Third-party Delivery,,
42,27095,16,2025-07-11,20:57:00,Completed,Takeaway,Online Wallet,,11149.09,Restaurant 016,Cafe,16,Garden-16,Other,Dine-in,,
43,25324,13,2025-09-15,21:02:00,Completed,Takeaway,Card,,8021.37,Restaurant 013,Cafe,13,East-13,Male,Website/App,,
44,31487,7,2025-12-20,18:27:00,Completed,Dine-in,Cash,,13556.63,Restaurant 007,Casual Dining,7,Clifton-7,Male,Dine-in,,
45,24238,19,2025-07-22,18:25:00,Completed,Website/App,Online Wallet,,3366.31,Restaurant 019,Fast Food,19,Defence-19,Other,Dine-in,,
46,44450,5,2025-03-11,09:50:00,Completed,Website/App,Card,,14398.66,Restaurant 005,Casual Dining,5,Central-5,Male,Website/App,,
47,48787,13,2025-07-05,22:54:00,Completed,Dine-in,Cash,,14302.46,Restaurant 013,Cafe,13,East-13,Female,Third-party Delivery,,
51,33954,19,2025-10-12,12:29:00,Completed,Third-party Delivery,Card,,3838.43,Restaurant 019,Fast Food,19,Defence-19,Male,Website/App,,
52,4159,6,2025-02-04,11:18:00,Completed,Website/App,Card,74,17849.9,Restaurant 006,Fast Food,6,Garden-6,Female,Third-party Delivery,Promotion 074,Seasonal
53,12580,7,2025-03-20,20:14:00,Completed,Website/App,Online Wallet,,14870.15,Restaurant 007,Casual Dining,7,Clifton-7,Other,Dine-in,,
55,33052,13,2025-07-26,19:45:00,Completed,Takeaway,Online Wallet,,9643.87,Restaurant 013,Cafe,13,East-13,Other,Dine-in,,
56,573,1,2025-02-25,17:16:00,Completed,Website/App,Card,,12012.98,Restaurant 001,Casual Dining,1,North-1,Male,Third-party Delivery,,
57,18252,15,2025-12-04,18:13:00,Completed,Website/App,Online Wallet,,20668.15,Restaurant 015,Fast Food,15,Central-15,Male,Website/App,,
59,42255,17,2025-10-28,18:13:00,Completed,Dine-in,Card,,12422.27,Restaurant 017,Casual Dining,17,Clifton-17,Female,Takeaway,,
60,17304,11,2025-09-01,20:32:00,Completed,Third-party Delivery,,,10859.83,Restaurant 011,Cafe,11,North-11,Male,Takeaway,,
61,25293,16,2025-06-16,14:48:00,Completed,Third-party Delivery,Online Wallet,,15935.44,Restaurant 016,Cafe,16,Garden-16,Other,Website/App,,
62,19248,18,2025-04-20,21:39:00,Completed,Website/App,Online Wallet,,7523.91,Restaurant 018,Fast Food,18,Gulshan-18,Male,Takeaway,,
63,24812,8,2025-12-02,19:39:00,Completed,Website/App,Online Wallet,,7879.37,Restaurant 008,Family Restaurant,8,Gulshan-8,Male,Takeaway,,
64,5423,1,2025-07-29,16:24:00,Completed,Takeaway,Online Wallet,,16107.93,Restaurant 001,Casual Dining,1,North-1,Male,Third-party Delivery,,
65,20336,6,2025-03-30,12:07:00,Completed,Third-party Delivery,Card,,13309.07,Restaurant 006,Fast Food,6,Garden-6,Other,Third-party Delivery,,
66,11574,5,2025-09-18,18:09:00,Completed,Third-party Delivery,Cash,118,15988.28,Restaurant 005,Casual Dining,5,Central-5,Female,Takeaway,Promotion 118,Percentage Discount
