item_a,item_a_name,item_b,item_b_name,restaurant_id,orders_with_combo,lift,chain_lift
94,Menu Item 094,134,Menu Item 134,14,605,1.0090617430841797,20.548867547698975
1,Menu Item 001,41,Menu Item 041,1,1908,1.0010692962812018,20.02389110404316
80,Menu Item 080,140,Menu Item 140,20,3983,0.9999325407491387,19.739345019036467
68,Menu Item 068,148,Menu Item 148,8,3515,0.9996915459994326,20.47280176062891
17,Menu Item 017,117,Menu Item 117,17,3837,0.9995881457944334,19.989262069889683
67,Menu Item 067,127,Menu Item 127,7,1884,0.9995233239437806,19.829213026266167
27,Menu Item 027,127,Menu Item 127,7,2861,0.9993945700484969,19.826658720272114
1,Menu Item 001,21,Menu Item 021,1,3527,0.9993265448945253,19.989031715069924
75,Menu Item 075,115,Menu Item 115,15,3638,0.9992910084025252,19.819684938365715
9,Menu Item 009,69,Menu Item 069,9,3752,0.9992783083806573,20.15959494923421
119,Menu Item 119,139,Menu Item 139,19,3595,0.9991186561900324,20.227850605184724
78,Menu Item 078,118,Menu Item 118,18,3715,0.9990984783517488,19.625937914636342
78,Menu Item 078,98,Menu Item 098,18,3713,0.9990921790711169,19.625814173790705
107,Menu Item 107,127,Menu Item 127,7,2816,0.9989800345999312,19.81843488845185
95,Menu Item 095,115,Menu Item 115,15,3613,0.9989423569441032,19.81276987358366
18,Menu Item 018,78,Menu Item 078,18,1491,0.9988728498573775,19.621505748119976
87,Menu Item 087,127,Menu Item 127,7,1813,0.9988296402528273,19.81545126468317
105,Menu Item 105,125,Menu Item 125,5,3509,0.998735195717936,20.432276476512573
19,Menu Item 019,139,Menu Item 139,19,3009,0.9986196985327446,20.217748861125195
99,Menu Item 099,139,Menu Item 139,19,2387,0.9985225401628766,20.215781822497146
12,Menu Item 012,112,Menu Item 112,12,3107,0.9985123612987388,20.007794695063474
35,Menu Item 035,115,Menu Item 115,15,2374,0.9985014994398627,19.804026017426356
22,Menu Item 022,102,Menu Item 102,2,3179,0.998412902997541,19.459435097925738
60,Menu Item 060,140,Menu Item 140,20,1568,0.9982816961646351,19.706756229794834
72,Menu Item 072,112,Menu Item 112,12,3129,0.9982611821082429,20.002761666059627
