location_id,city_area,orders,revenue,avg_order_value
12,South-12,3989,86077442.38,21578.702025570317
2,South-2,4101,71036319.3,17321.70673006584
15,Central-15,4030,70327464.52,17450.98375186104
5,Central-5,3907,65856587.07,16856.04992833376
6,Garden-6,3992,61359638.18,15370.650846693386
16,Garden-16,4045,53112785.12,13130.47839802225
7,Clifton-7,4029,49163033.26,12202.29170017374
1,North-1,3996,47101743.14,11787.223008008008
11,North-11,3937,46721427.76,11867.266385572771
17,Clifton-17,3997,46071040.08,11526.404823617713
3,East-3,3949,43637913.21,11050.370526715624
13,East-13,4022,38087660.47,9469.831046742913
14,West-14,3925,32525943.46,8286.864575796179
18,Gulshan-18,4069,31206328.93,7669.2870312116
4,West-4,3963,31067239.21,7839.32354529397
8,Gulshan-8,3903,29051218.01,7443.304640020498
10,Korangi-10,4117,27545938.98,6690.779446198689
20,Korangi-20,4049,22439953.56,5542.097693257594
9,Defence-9,3962,19070837.63,4813.437059565876
19,Defence-19,3948,14557155.08,3687.222664640324
