order_item_id,order_id,menu_item_id,quantity,unit_price,line_discount,line_total,item_name,category_id,base_price,cost_price,restaurant_id,order_status,order_date,net_revenue,contribution
1,1,54,2,333.52,0.0,667.04,Menu Item 054,4,340.0,182.18,14,Completed,2025-04-08,667.04,302.67999999999995
2,1,114,1,848.96,0.0,848.96,Menu Item 114,4,843.0,544.89,14,Completed,2025-04-08,848.96,304.07000000000005
3,1,114,1,866.17,0.0,866.17,Menu Item 114,4,843.0,544.89,14,Completed,2025-04-08,866.17,321.28
4,1,14,3,418.48,0.0,1255.44,Menu Item 014,4,417.0,231.23,14,Completed,2025-04-08,1255.44,561.7500000000001
5,1,74,1,429.23,0.0,429.23,Menu Item 074,4,430.0,155.9,14,Completed,2025-04-08,429.23,273.33000000000004
6,1,74,1,414.71,0.0,414.71,Menu Item 074,4,430.0,155.9,14,Completed,2025-04-08,414.71,258.80999999999995
7,1,14,1,411.65,0.0,411.65,Menu Item 014,4,417.0,231.23,14,Completed,2025-04-08,411.65,180.42
8,1,94,2,769.69,0.0,1539.38,Menu Item 094,4,741.0,274.91,14,Completed,2025-04-08,1539.38,989.5600000000001
9,1,74,4,413.82,0.0,1655.28,Menu Item 074,4,430.0,155.9,14,Completed,2025-04-08,1655.28,1031.6799999999998
10,1,54,1,330.84,0.0,330.84,Menu Item 054,4,340.0,182.18,14,Completed,2025-04-08,330.84,148.65999999999997
11,2,29,4,148.16,0.0,592.64,Menu Item 029,9,152.0,68.62,9,Completed,2025-05-05,592.64,318.15999999999997
12,2,9,1,377.26,0.0,377.26,Menu Item 009,9,372.0,140.35,9,Completed,2025-05-05,377.26,236.91
13,2,129,1,231.24,46.25,231.24,Menu Item 129,9,232.0,100.2,9,Completed,2025-05-05,184.99,84.79
14,2,69,3,260.47,0.0,781.41,Menu Item 069,9,261.0,94.8,9,Completed,2025-05-05,781.41,497.01
15,2,29,1,155.97,0.0,155.97,Menu Item 029,9,152.0,68.62,9,Completed,2025-05-05,155.97,87.35
16,2,49,1,492.59,0.0,492.59,Menu Item 049,9,496.0,254.28,9,Completed,2025-05-05,492.59,238.30999999999997
17,2,9,1,368.64,0.0,368.64,Menu Item 009,9,372.0,140.35,9,Completed,2025-05-05,368.64,228.29
18,2,29,1,158.27,0.0,158.27,Menu Item 029,9,152.0,68.62,9,Completed,2025-05-05,158.27,89.65
19,2,149,2,407.08,0.0,814.16,Menu Item 149,9,409.0,239.18,9,Completed,2025-05-05,814.16,335.79999999999995
20,2,49,1,509.51,0.0,509.51,Menu Item 049,9,496.0,254.28,9,Completed,2025-05-05,509.51,255.23
21,3,118,3,515.89,0.0,1547.67,Menu Item 118,8,533.0,309.0,18,Completed,2025-12-24,1547.67,620.6700000000001
22,3,98,1,680.48,0.0,680.48,Menu Item 098,8,680.0,373.65,18,Completed,2025-12-24,680.48,306.83000000000004
23,3,118,1,541.22,0.0,541.22,Menu Item 118,8,533.0,309.0,18,Completed,2025-12-24,541.22,232.22000000000003
24,3,78,1,400.17,0.0,400.17,Menu Item 078,8,408.0,256.11,18,Completed,2025-12-24,400.17,144.06
25,3,78,1,425.28,0.0,425.28,Menu Item 078,8,408.0,256.11,18,Completed,2025-12-24,425.28,169.16999999999996
26,3,138,3,268.37,0.0,805.11,Menu Item 138,8,269.0,154.6,18,Completed,2025-12-24,805.11,341.31000000000006
27,3,118,1,555.25,0.0,555.25,Menu Item 118,8,533.0,309.0,18,Completed,2025-12-24,555.25,246.25
28,3,78,2,387.78,0.0,775.56,Menu Item 078,8,408.0,256.11,18,Completed,2025-12-24,775.56,263.3399999999999
29,3,78,1,399.66,0.0,399.66,Menu Item 078,8,408.0,256.11,18,Completed,2025-12-24,399.66,143.55
30,3,98,1,667.09,0.0,667.09,Menu Item 098,8,680.0,373.65,18,Completed,2025-12-24,667.09,293.44000000000005
31,4,91,1,761.13,0.0,761.13,Menu Item 091,1,771.0,370.79,11,Completed,2025-06-18,761.13,390.34
32,4,51,2,1010.85,0.0,2021.7,Menu Item 051,1,970.0,362.81,11,Completed,2025-06-18,2021.7,1296.08
33,4,131,1,633.18,0.0,633.18,Menu Item 131,1,619.0,372.73,11,Completed,2025-06-18,633.18,260.44999999999993
34,4,51,4,970.9,0.0,3883.6,Menu Item 051,1,970.0,362.81,11,Completed,2025-06-18,3883.6,2432.3599999999997
35,4,71,2,874.75,0.0,1749.5,Menu Item 071,1,902.0,464.98,11,Completed,2025-06-18,1749.5,819.54
36,4,131,1,588.58,0.0,588.58,Menu Item 131,1,619.0,372.73,11,Completed,2025-06-18,588.58,215.85000000000002
37,4,71,1,926.35,0.0,926.35,Menu Item 071,1,902.0,464.98,11,Completed,2025-06-18,926.35,461.37
38,4,91,1,740.85,0.0,740.85,Menu Item 091,1,771.0,370.79,11,Completed,2025-06-18,740.85,370.06
39,4,91,2,799.93,0.0,1599.86,Menu Item 091,1,771.0,370.79,11,Completed,2025-06-18,1599.86,858.2799999999999
40,4,11,2,1089.32,0.0,2178.64,Menu Item 011,1,1146.0,546.24,11,Completed,2025-06-18,2178.64,1086.1599999999999
41,5,85,1,652.92,0.0,652.92,Menu Item 085,5,648.0,355.11,5,Completed,2025-02-10,652.92,297.80999999999995
42,5,145,1,805.57,0.0,805.57,Menu Item 145,5,821.0,429.88,5,Completed,2025-02-10,805.57,375.69000000000005
43,5,105,1,1097.74,0.0,1097.74,Menu Item 105,5,1081.0,596.54,5,Completed,2025-02-10,1097.74,501.20000000000005
44,5,105,1,1115.08,0.0,1115.08,Menu Item 105,5,1081.0,596.54,5,Completed,2025-02-10,1115.08,518.54
45,5,105,1,1062.59,0.0,1062.59,Menu Item 105,5,1081.0,596.54,5,Completed,2025-02-10,1062.59,466.04999999999995
46,5,5,2,1620.67,0.0,3241.34,Menu Item 005,5,1622.0,760.21,5,Completed,2025-02-10,3241.34,1720.92
47,5,45,1,631.29,0.0,631.29,Menu Item 045,5,604.0,389.94,5,Completed,2025-02-10,631.29,241.34999999999997
48,5,125,1,1779.41,0.0,1779.41,Menu Item 125,5,1796.0,1138.34,5,Completed,2025-02-10,1779.41,641.0700000000002
49,5,105,1,1078.66,0.0,1078.66,Menu Item 105,5,1081.0,596.54,5,Completed,2025-02-10,1078.66,482.1200000000001
50,5,145,1,796.92,0.0,796.92,Menu Item 145,5,821.0,429.88,5,Completed,2025-02-10,796.92,367.03999999999996
51,6,76,1,719.15,0.0,719.15,Menu Item 076,6,755.0,415.31,16,Completed,2025-11-24,719.15,303.84
52,6,116,1,1071.73,0.0,1071.73,Menu Item 116,6,1061.0,513.28,16,Completed,2025-11-24,1071.73,558.45
53,6,36,1,883.23,0.0,883.23,Menu Item 036,6,920.0,450.9,16,Completed,2025-11-24,883.23,432.33000000000004
54,6,16,2,967.74,0.0,1935.48,Menu Item 016,6,964.0,338.34,16,Completed,2025-11-24,1935.48,1258.8000000000002
55,6,116,1,4560.56,0.0,4560.56,Menu Item 116,6,1061.0,513.28,16,Completed,2025-11-24,4560.56,4047.2800000000007
56,6,76,2,774.34,0.0,1548.68,Menu Item 076,6,755.0,415.31,16,Completed,2025-11-24,1548.68,718.0600000000001
57,6,116,1,1024.79,0.0,1024.79,Menu Item 116,6,1061.0,513.28,16,Completed,2025-11-24,1024.79,511.51
58,6,76,1,771.77,0.0,771.77,Menu Item 076,6,755.0,415.31,16,Completed,2025-11-24,771.77,356.46
59,6,76,2,750.2,0.0,1500.4,Menu Item 076,6,755.0,415.31,16,Completed,2025-11-24,1500.4,669.7800000000001
60,6,36,2,941.22,0.0,1882.44,Menu Item 036,6,920.0,450.9,16,Completed,2025-11-24,1882.44,980.6400000000001
61,7,52,1,823.33,0.0,823.33,Menu Item 052,2,839.0,463.6,12,Completed,2025-03-10,823.33,359.73
62,7,12,1,1488.02,0.0,1488.02,Menu Item 012,2,1481.0,783.1,12,Completed,2025-03-10,1488.02,704.92
63,7,92,1,1065.81,0.0,1065.81,Menu Item 092,2,1089.0,464.37,12,Completed,2025-03-10,1065.81,601.4399999999999
64,7,112,2,1737.46,0.0,3474.92,Menu Item 112,2,1760.0,861.28,12,Completed,2025-03-10,3474.92,1752.3600000000001
65,7,112,1,1765.06,0.0,1765.06,Menu Item 112,2,1760.0,861.28,12,Completed,2025-03-10,1765.06,903.78
66,7,12,3,1471.52,0.0,4414.56,Menu Item 012,2,1481.0,783.1,12,Completed,2025-03-10,4414.56,2065.26
67,7,112,2,1845.17,0.0,3690.34,Menu Item 112,2,1760.0,861.28,12,Completed,2025-03-10,3690.34,1967.7800000000002
68,7,12,1,1460.65,0.0,1460.65,Menu Item 012,2,1481.0,783.1,12,Completed,2025-03-10,1460.65,677.5500000000001
69,7,112,1,1765.82,0.0,1765.82,Menu Item 112,2,1760.0,861.28,12,Completed,2025-03-10,1765.82,904.54
70,7,12,1,1507.54,0.0,1507.54,Menu Item 012,2,1481.0,783.1,12,Completed,2025-03-10,1507.54,724.4399999999999
71,8,68,1,305.15,0.0,305.15,Menu Item 068,8,302.0,114.06,8,Completed,2025-06-30,305.15,191.08999999999997
72,8,48,3,460.63,0.0,1381.89,Menu Item 048,8,444.0,194.92,8,Completed,2025-06-30,1381.89,797.1300000000001
73,8,8,2,477.78,0.0,955.56,Menu Item 008,8,474.0,307.72,8,Completed,2025-06-30,955.56,340.1199999999999
74,8,68,1,312.7,0.0,312.7,Menu Item 068,8,302.0,114.06,8,Completed,2025-06-30,312.7,198.64
75,8,88,1,354.7,0.0,354.7,Menu Item 088,8,368.0,225.63,8,Completed,2025-06-30,354.7,129.07
76,8,148,1,551.05,0.0,551.05,Menu Item 148,8,558.0,337.64,8,Completed,2025-06-30,551.05,213.40999999999997
77,8,8,3,495.79,0.0,1487.37,Menu Item 008,8,474.0,307.72,8,Completed,2025-06-30,1487.37,564.2099999999998
78,8,148,1,583.13,0.0,583.13,Menu Item 148,8,558.0,337.64,8,Completed,2025-06-30,583.13,245.49
79,8,88,2,383.79,0.0,767.58,Menu Item 088,8,368.0,225.63,8,Completed,2025-06-30,767.58,316.32000000000005
80,8,68,3,302.8,0.0,908.4,Menu Item 068,8,302.0,114.06,8,Completed,2025-06-30,908.4,566.22
101,11,13,1,605.08,0.0,605.08,Menu Item 013,3,607.0,389.28,13,Completed,2025-12-03,605.08,215.80000000000007
102,11,53,1,460.16,0.0,460.16,Menu Item 053,3,472.0,298.53,13,Completed,2025-12-03,460.16,161.63000000000005
103,11,53,2,487.06,0.0,974.12,Menu Item 053,3,472.0,298.53,13,Completed,2025-12-03,974.12,377.06000000000006
104,11,13,1,635.05,0.0,635.05,Menu Item 013,3,607.0,389.28,13,Completed,2025-12-03,635.05,245.76999999999998
105,11,113,1,463.61,0.0,463.61,Menu Item 113,3,474.0,230.81,13,Completed,2025-12-03,463.61,232.8
106,11,73,1,403.35,0.0,403.35,Menu Item 073,3,386.0,231.75,13,Completed,2025-12-03,403.35,171.60000000000002
107,11,13,1,584.48,0.0,584.48,Menu Item 013,3,607.0,389.28,13,Completed,2025-12-03,584.48,195.20000000000005
108,11,133,1,949.68,0.0,949.68,Menu Item 133,3,927.0,508.83,13,Completed,2025-12-03,949.68,440.84999999999997
109,11,13,1,618.93,0.0,618.93,Menu Item 013,3,607.0,389.28,13,Completed,2025-12-03,618.93,229.64999999999998
110,11,113,1,478.18,0.0,478.18,Menu Item 113,3,474.0,230.81,13,Completed,2025-12-03,478.18,247.37
111,12,22,1,889.61,0.0,889.61,Menu Item 022,2,861.0,323.47,2,Completed,2025-07-28,889.61,566.14
112,12,22,1,892.99,0.0,892.99,Menu Item 022,2,861.0,323.47,2,Completed,2025-07-28,892.99,569.52
113,12,142,1,1635.78,0.0,1635.78,Menu Item 142,2,1669.0,919.35,2,Completed,2025-07-28,1635.78,716.43
114,12,102,1,1634.92,0.0,1634.92,Menu Item 102,2,1604.0,774.17,2,Completed,2025-07-28,1634.92,860.7500000000001
116,12,102,1,1679.16,0.0,1679.16,Menu Item 102,2,1604.0,774.17,2,Completed,2025-07-28,1679.16,904.9900000000001
117,12,2,1,1312.24,0.0,1312.24,Menu Item 002,2,1364.0,822.3,2,Completed,2025-07-28,1312.24,489.94000000000005
118,12,22,1,829.12,0.0,829.12,Menu Item 022,2,861.0,323.47,2,Completed,2025-07-28,829.12,505.65
119,12,62,1,1339.25,0.0,1339.25,Menu Item 062,2,1283.0,509.77,2,Completed,2025-07-28,1339.25,829.48
120,12,2,2,1338.52,0.0,2677.04,Menu Item 002,2,1364.0,822.3,2,Completed,2025-07-28,2677.04,1032.44
121,13,105,2,1108.77,0.0,2217.54,Menu Item 105,5,1081.0,596.54,5,Completed,2025-04-18,2217.54,1024.46
122,13,105,1,1042.05,0.0,1042.05,Menu Item 105,5,1081.0,596.54,5,Completed,2025-04-18,1042.05,445.51
123,13,45,4,616.26,0.0,2465.04,Menu Item 045,5,604.0,389.94,5,Completed,2025-04-18,2465.04,905.28
124,13,45,1,607.67,0.0,607.67,Menu Item 045,5,604.0,389.94,5,Completed,2025-04-18,607.67,217.72999999999996
125,13,125,1,1838.7,0.0,1838.7,Menu Item 125,5,1796.0,1138.34,5,Completed,2025-04-18,1838.7,700.3600000000001
126,13,45,1,622.79,0.0,622.79,Menu Item 045,5,604.0,389.94,5,Completed,2025-04-18,622.79,232.84999999999997
127,13,105,1,1099.91,0.0,1099.91,Menu Item 105,5,1081.0,596.54,5,Completed,2025-04-18,1099.91,503.3700000000001
128,13,125,2,1737.37,0.0,3474.74,Menu Item 125,5,1796.0,1138.34,5,Completed,2025-04-18,3474.74,1198.06
129,13,125,2,1792.15,0.0,3584.3,Menu Item 125,5,1796.0,1138.34,5,Completed,2025-04-18,3584.3,1307.6200000000003
130,13,5,2,1545.82,0.0,3091.64,Menu Item 005,5,1622.0,760.21,5,Completed,2025-04-18,3091.64,1571.2199999999998
131,14,130,1,655.31,0.0,655.31,Menu Item 130,10,648.0,292.14,10,Completed,2025-08-24,655.31,363.16999999999996
133,14,110,1,412.29,0.0,412.29,Menu Item 110,10,401.0,219.27,10,Completed,2025-08-24,412.29,193.02
134,14,130,2,636.9,0.0,1273.8,Menu Item 130,10,648.0,292.14,10,Completed,2025-08-24,1273.8,689.52
135,14,130,1,621.91,0.0,621.91,Menu Item 130,10,648.0,292.14,10,Completed,2025-08-24,621.91,329.77
136,14,110,1,393.93,0.0,393.93,Menu Item 110,10,401.0,219.27,10,Completed,2025-08-24,393.93,174.66
137,14,130,2,655.76,0.0,1311.52,Menu Item 130,10,648.0,292.14,10,Completed,2025-08-24,1311.52,727.24
138,14,30,1,456.12,0.0,456.12,Menu Item 030,10,475.0,167.27,10,Completed,2025-08-24,456.12,288.85
139,14,110,1,410.94,0.0,410.94,Menu Item 110,10,401.0,219.27,10,Completed,2025-08-24,410.94,191.67
140,14,130,1,653.82,0.0,653.82,Menu Item 130,10,648.0,292.14,10,Completed,2025-08-24,653.82,361.68000000000006
141,15,22,1,845.1,0.0,845.1,Menu Item 022,2,861.0,323.47,2,Completed,2025-11-16,845.1,521.63
142,15,142,2,1675.94,0.0,3351.88,Menu Item 142,2,1669.0,919.35,2,Completed,2025-11-16,3351.88,1513.18
143,15,22,1,819.55,0.0,819.55,Menu Item 022,2,861.0,323.47,2,Completed,2025-11-16,819.55,496.0799999999999
144,15,82,1,1031.89,0.0,1031.89,Menu Item 082,2,1026.0,601.45,2,Completed,2025-11-16,1031.89,430.44000000000005
145,15,142,1,1634.51,0.0,1634.51,Menu Item 142,2,1669.0,919.35,2,Completed,2025-11-16,1634.51,715.16
146,15,102,1,1659.05,0.0,1659.05,Menu Item 102,2,1604.0,774.17,2,Completed,2025-11-16,1659.05,884.88
147,15,22,1,820.37,0.0,820.37,Menu Item 022,2,861.0,323.47,2,Completed,2025-11-16,820.37,496.9
148,15,22,1,901.99,0.0,901.99,Menu Item 022,2,861.0,323.47,2,Completed,2025-11-16,901.99,578.52
149,15,102,2,1670.25,0.0,3340.5,Menu Item 102,2,1604.0,774.17,2,Completed,2025-11-16,3340.5,1792.16
150,15,122,3,1475.47,0.0,4426.41,Menu Item 122,2,1484.0,828.35,2,Completed,2025-11-16,4426.41,1941.3599999999997
161,17,111,2,572.95,0.0,1145.9,Menu Item 111,1,559.0,326.19,11,Completed,2025-01-13,1145.9,493.5200000000001
162,17,131,1,599.1,0.0,599.1,Menu Item 131,1,619.0,372.73,11,Completed,2025-01-13,599.1,226.37
